time,acch4
1950,1222.0
1951,1244.01961
1952,1264.6718625
1953,1284.0707039583333
1954,1302.320585295139
1955,1319.6251631872105
1956,1335.9553029216097
1957,1351.4641476781424
1958,1366.1481987049638
1959,1380.1121588128835
1960,1404.3868855784765
1961,1428.1134884469368
1962,1451.373614409692
1963,1474.1341965422178
1964,1496.400893497033
1965,1518.4306823722802
1966,1540.0274855079235
1967,1561.37126504893
1968,1582.4111662948526
1969,1603.1005724369484
1970,1623.432721400536
1971,1643.4733546171578
1972,1663.354675065728
1973,1683.0180188102509
1974,1702.5894605760634
1975,1721.9687488613915
1976,1741.1718964562756
1977,1760.2495517515858
1978,1779.1762024389536
1979,1797.9644322357074
1980,1816.913536216065
1981,1835.7942881980596
1982,1854.5404441815547
1983,1873.2351604997584
1984,1891.7748137914452
1985,1910.3162059754916
1986,1928.7512821442006
1987,1947.1968119655173
1988,1965.615954301724
1989,1983.938968109914
1990,2001.7062541007544
1991,2016.2663729256917
1992,2027.7786785152175
1993,2036.425215305616
1994,2042.4447973634815
1995,2045.8764875831914
1996,2046.9719136179253
1997,2045.781884149765
1998,2042.3529738039513
1999,2036.9796659869553
2000,2029.6801138213757
2001,2025.0751176695942
2002,2022.9041611971281
2003,2023.0363477640342
2004,2025.207808783698
2005,2029.2845747183899
2006,2035.1438401585242
2007,2042.061543478647
2008,2049.985451522093
2009,2058.7238038952523
2010,2067.8490302373148
2011,2078.2281410508717
2012,2090.080375963299
2013,2103.139094633024
2014,2117.3037567469387
2015,2132.698020351361
2016,2148.859718655414
2017,2165.7608687674624
2018,2183.3398497035073
2019,2201.5761455615484
2020,2220.379010098086
2021,2239.593319256579
2022,2259.400605985197
2023,2279.571605486431
2024,2300.111978362562
2025,2320.990943499015
2026,2342.180284874097
2027,2363.510257801256
2028,2384.7892929844847
2029,2406.057605235778
2030,2427.0642981327965
2031,2448.4426632883965
2032,2469.837998014363
2033,2491.248888179833
2034,2512.6380674981806
2035,2533.6476452066654
2036,2555.0646247727764
2037,2576.387446041712
2038,2597.731865538236
2039,2619.06011341005
2040,2640.0857772925456
2041,2661.481532518167
2042,2683.072658141653
2043,2704.770933296515
2044,2726.6753388551388
2045,2748.5888472838774
2046,2770.762490010221
2047,2792.491159176036
2048,2813.9558159113667
2049,2835.2504012520862
2050,2855.7775978144127
2051,2876.6444846632116
2052,2898.074544274611
2053,2920.20069558506
2054,2943.0009009529717
2055,2966.526899206891
2056,2990.2505976063167
2057,3013.8317911391237
2058,3037.3183252108633
2059,3060.861968109958
2060,3084.098260767462
2061,3107.4844557035067
2062,3130.720301061548
2063,3153.818325973086
2064,3176.754045475329
2065,3199.2891950190515
2066,3222.032675434131
2067,3245.1110058146196
2068,3268.4243419967347
2069,3291.989070163673
2070,3315.7482709833666
2071,3339.6497684014194
2072,3363.357974367968
2073,3386.853026503971
2074,3410.08074762864
2075,3432.9914753262533
2076,3456.007295715732
2077,3478.2202010727547
2078,3499.733070983358
2079,3520.568271734745
2080,3539.9189957568497
2081,3559.671479443779
2082,3579.324632823464
2083,3598.994643421509
2084,3618.6081664697167
2085,3637.5224492639068
2086,3656.982771825248
2087,3676.116320839811
2088,3694.7345074364935
2089,3713.0601284834524
2090,3730.290254443165
2091,3748.0988565729012
2092,3765.826238525159
2093,3783.3352886480625
2094,3800.716141260724
2095,3817.224109488997
2096,3834.442673698247
2097,3851.233517556727
2098,3867.5603444269996
2099,3883.461822391416
2100,3898.002207192131
2101,3912.4099932594536
2102,3926.8041404878322
2103,3941.1138454471793
2104,3955.3821149932483
2105,3969.6124020771445
2106,3983.8438419040494
2107,3998.004398412045
2108,4012.2078885443743
2109,4026.2708844990098
2110,4040.420914124092
2111,4054.470874613751
2112,4068.5729850626053
2113,4082.579019640722
2114,4096.604894670661
2115,4110.61298678144
2116,4124.640747882986
2117,4138.614598892737
2118,4152.610972318343
2119,4166.556051291814
2120,4180.454110350829
2121,4194.416977821594
2122,4208.331343003128
2123,4222.309157752867
2124,4236.237224606795
2125,4250.155659222895
2126,4264.029294287654
2127,4277.933803097016
2128,4291.830642838931
2129,4305.720452602354
2130,4319.639788218825
2131,4333.51424920059
2132,4347.347575100541
2133,4361.215133842163
2134,4375.042132688649
2135,4388.867921631262
2136,4402.764541495323
2137,4416.654149704046
2138,4430.5013605620425
2139,4444.273737181873
2140,4458.0854257500505
2141,4471.96912027088
2142,4485.774940248307
2143,4499.617285227615
2144,4513.493111458648
2145,4527.327688837095
2146,4541.2683347673365
2147,4555.018450203392
2148,4568.809732686442
2149,4582.638751629239
2150,4596.538332326802
2151,4610.358714632902
2152,4624.142468413494
2153,4637.928616045702
2154,4651.680988041894
2155,4665.510309038403
2156,4679.2662866185365
2157,4693.062942733659
2158,4706.9328575058535
2159,4720.654106047032
2160,4734.490867209779
2161,4748.325604942297
2162,4762.122517863772
2163,4775.956698041791
2164,4789.789069871642
2165,4803.583814049005
2166,4817.416006211588
2167,4831.210585693956
2168,4845.0426268861265
2169,4858.8730379789495
2170,4872.701954814037
2171,4886.421591912867
2172,4900.2928459201285
2173,4914.123232093451
2174,4927.9880960856635
2175,4941.776654745191
2176,4955.603176849758
2177,4969.428528778944
2178,4983.216838047366
2179,4997.043131543418
2180,5010.8682739148
2181,5024.764301088567
2182,5038.617395997852
2183,5052.503076331365
2184,5066.382656637084
2185,5080.148735250661
2186,5093.99062064644
2187,5107.794085592571
2188,5121.63427179319
2189,5135.472149143758
2190,5149.307910048445
2191,5163.213670877741
2192,5176.967778304595
2193,5190.798690112546
2194,5204.592095936501
2195,5218.459031275126
2196,5232.285458668865
2197,5246.146693779793
2198,5259.931925964811
2199,5273.791368801077
2200,5287.6828680676535
