time,globc
1950,
1951,2283.619714179199
1952,2335.2207164242495
1953,2390.131278185784
1954,2448.7079343815158
1955,2511.368107275782
1956,2578.6038152332326
1957,2650.998840146379
1958,2729.2502612228004
1959,2814.1955041982396
1960,2901.9834947374125
1961,2989.7695249019866
1962,3082.2058485147013
1963,3179.6065991161404
1964,3282.3132437892036
1965,3390.6974278817224
1966,3505.1641450004263
1967,3626.1552710894853
1968,3754.153506126183
1969,3889.686772264509
1970,3970.6944235871524
1971,4046.7087339207305
1972,4125.746480885365
1973,4207.962373957124
1974,4293.520243754683
1975,4382.5936343370095
1976,4475.366436748138
1977,4572.033566830799
1978,4672.801690560319
1979,4777.8900003979725
1980,4776.996986581497
1981,4811.1432869856235
1982,4849.613293123654
1983,4892.705989620176
1984,4940.7505109680515
1985,4994.109111574309
1986,5053.180448801703
1987,5118.403212713319
1988,5190.260139947036
1989,5269.2824532828
1990,5503.318661870958
1991,5536.516082126553
1992,5578.647633612279
1993,5629.795366421683
1994,5690.079104405527
1995,5753.984962386591
1996,5905.812707211154
1997,6112.172185389302
1998,6300.651601799072
1999,6393.111607151749
2000,6537.289456456879
2001,6775.217141004942
2002,6885.210231514398
2003,6992.795593894255
2004,7097.357042796678
2005,7198.322212586029
2006,7295.285269386288
2007,7387.818287672562
2008,7475.599310733822
2009,7558.2005140892525
2010,7635.409179242755
2011,7719.005572089549
2012,7847.962596915313
2013,7980.8975791618295
2014,8117.879298686328
2015,8259.039805199238
2016,8404.39591755915
2017,8554.087354544396
2018,8708.169230265778
2019,8866.703814156728
2020,9029.834120123778
2021,9197.68089202132
2022,9370.881400243728
2023,9549.5393277263
2024,9733.82065260467
2025,9923.853589564736
2026,10114.287451027722
2027,10307.279663321176
2028,10502.913264521889
2029,10701.069789265452
2030,10901.768210233586
2031,11103.941565416571
2032,11309.13984187272
2033,11517.403305464191
2034,11728.656030485432
2035,11942.990891601334
2036,12160.321963458284
2037,12380.585940294604
2038,12603.838866319169
2039,12829.990346126106
2040,13059.121571778403
2041,13291.082444763837
2042,13524.674332615705
2043,13759.899710277105
2044,13996.629227054964
2045,14234.830622823629
2046,14474.372102846342
2047,14715.20179491247
2048,14957.284100018001
2049,15200.454203232364
2050,15444.707377814475
2051,15684.358047539316
2052,15927.902512557695
2053,16175.34254446191
2054,16426.75045357836
2055,16682.16122784345
2056,16941.74324067722
2057,17205.51767116796
2058,17473.540553546994
2059,17745.858029314895
2060,18022.580388246723
2061,18303.80766364982
2062,18589.548981717635
2063,18879.89378656508
2064,19174.892206551398
2065,19474.633498143725
2066,19779.27912401507
2067,20088.90790160147
2068,20403.61180639954
2069,20723.51378338655
2070,21048.686597841566
2071,21379.314844567372
2072,21714.112497615468
2073,22053.08924937284
2074,22396.225273687654
2075,22743.579467759304
2076,23095.2117221686
2077,23446.053856688657
2078,23795.84044729582
2079,24144.372366313466
2080,24491.384848155896
2081,24836.693644899253
2082,25180.81180514746
2083,25523.570621411185
2084,25864.737318542044
2085,26204.176274757203
2086,26541.637244197012
2087,26876.966639098624
2088,27209.922756451444
2089,27540.28643173081
2090,27867.823997534622
2091,28192.348300560036
2092,28513.994175227
2093,28832.56115663593
2094,29147.83155068836
2095,29459.64249499973
2096,29767.796779094097
2097,30072.15099529569
2098,30372.531313465355
2099,30668.731118161442
2100,30960.580552069565
2101,31261.162752928212
2102,31548.003442037167
2103,31820.673925499937
2104,32078.814525591857
2105,32322.046599088622
2106,32544.3834215197
2107,32744.161641422306
2108,32928.09000368634
2109,33095.9039306471
2110,33247.36271104238
2111,33382.25568289701
2112,33500.79497003861
2113,33602.830921075576
2114,33688.23952281011
2115,33756.92607914119
2116,33808.82387266837
2117,33843.89523624197
2118,33862.130040701195
2119,33863.54823382639
2120,33848.197405335166
2121,33816.15398221025
2122,33767.600570377275
2123,33702.66989158405
2124,33621.52351356498
2125,33524.34872331063
2126,33411.36018968492
2127,33282.79818089061
2128,33138.92905793716
2129,32980.04346744903
2130,32806.45560306885
2131,32618.50312373763
2132,32416.54463149144
2133,32200.95961582626
2134,31972.148003601673
2135,31730.52741924755
2136,31476.533735401797
2137,31210.619411526233
2138,30933.250869176
2139,30644.908093494894
2140,30346.082614381743
2141,30037.278183433635
2142,29719.0086023869
2143,29391.794329607677
2144,29056.163519445472
2145,28712.649847940123
2146,28361.790022668043
2147,28004.125161634154
2148,27640.19452914517
2149,27270.539715678184
2150,26895.70126331465
2151,26516.217070138155
2152,26135.065847426406
2153,25752.61446780935
2154,25369.223372402645
2155,24985.245809030177
2156,24601.02779298561
2157,24216.905888150868
2158,23833.208756309654
2159,23450.256247267636
2160,23068.356630273673
2161,22687.811092004842
2162,22308.909418046154
2163,21931.931026143753
2164,21557.145136184714
2165,21184.81011423027
2166,20815.172745733686
2167,20448.469560382764
2168,20084.925061920825
2169,19724.75315332735
2170,19368.15605971162
2171,19015.32466616622
2172,18666.437617998687
2173,18321.66462746456
2174,17981.162475621102
2175,17645.07727174974
2176,17313.5432881234
2177,16986.684680612336
2178,16664.614492168817
2179,16347.43513652305
2180,16035.238925282065
2181,15728.10775850782
2182,15426.113951063298
2183,15129.319160625211
2184,14837.776502955126
2185,14551.52914086363
2186,14270.610607571067
2187,13995.047053489881
2188,13724.855377098913
2189,13460.045063872487
2190,13200.617516199281
2191,12946.566665088734
2192,12697.87966893545
2193,12454.535440393947
2194,12216.507875239393
2195,11983.764018883778
2196,11756.265684416805
2197,11533.968395388994
2198,11316.822991311918
2199,11104.774710708976
2200,10897.765233983162
