time,acn2o
1950,296.0
1951,296.1010137719298
1952,296.2011414581409
1953,296.30246983131514
1954,296.40290935911065
1955,296.5045468384167
1956,296.6073717608867
1957,296.70929471035254
1958,296.8103235988582
1959,296.91046626904364
1960,297.15526049475375
1961,297.39998640269454
1962,297.6446445921446
1963,297.8933936571258
1964,298.13996071276506
1965,298.3864438994952
1966,298.63284395300843
1967,298.87916160254343
1968,299.1274765709422
1969,299.37361333786373
1970,299.7797530103386
1971,300.18648805410754
1972,300.5917342466154
1973,300.9975836479609
1974,301.3998729668384
1975,301.7986334320416
1976,302.2001329984272
1977,302.60642663879185
1978,303.0112352998551
1979,303.41249300775115
1980,304.1553449111919
1981,304.89375956986567
1982,305.62985490697207
1983,306.3657302674372
1984,307.10346658088076
1985,307.83888952315374
1986,308.56994038698576
1987,309.30289452394203
1988,310.0335772386443
1989,310.76616645584915
1990,311.50064545185046
1991,312.25362964964125
1992,313.02703572289
1993,313.81652653233834
1994,314.63027698380904
1995,315.46391627342473
1996,316.31311193769295
1997,317.18188551718686
1998,318.072144275808
1999,318.98162074707284
2000,319.90806735455465
2001,320.8430192374094
2002,321.7801647879584
2003,322.7278007635026
2004,323.6837561427701
2005,324.6417209485353
2006,325.6120725542499
2007,326.58430730377404
2008,327.5584086783024
2009,328.5343603039313
2010,329.50798795038804
2011,330.4917860034548
2012,331.4773492490385
2013,332.46466220299436
2014,333.4516305170032
2015,334.4424152142225
2016,335.4349038176065
2017,336.42908138060994
2018,337.4228540877976
2019,338.41830449053623
2020,339.4133388721982
2021,340.4100398820912
2022,341.4063139006694
2023,342.4021646734705
2024,343.3996749131769
2025,344.3884350630613
2026,345.3851538782976
2027,346.37936654603186
2028,347.379411050014
2029,348.3831572337858
2030,349.38017762647195
2031,350.38092622623975
2032,351.38121232951835
2033,352.3810399932945
2034,353.3804132389674
2035,354.3751780526606
2036,355.3716118592162
2037,356.3717790183459
2038,357.3694097813428
2039,358.36452639729595
2040,359.3446769201267
2041,360.33078263135366
2042,361.32071229248214
2043,362.30611636009195
2044,363.2932715323718
2045,364.2800834487545
2046,365.26863412025665
2047,366.2589082946404
2048,367.25089085345934
2049,368.2404088108852
2050,369.2233257862283
2051,370.21217368284033
2052,371.2027424750961
2053,372.1950170674198
2054,373.191061496653
2055,374.18252669405075
2056,375.1798478283135
2057,376.1788155315739
2058,377.1773363602443
2059,378.1774932342773
2060,379.17303480239764
2061,380.17439654974504
2062,381.17321142211574
2063,382.1736597605182
2064,383.1715692363031
2065,384.15656712019523
2066,385.1516356717725
2067,386.1400545518447
2068,387.1364350908636
2069,388.13239144971567
2070,389.1216903492796
2071,390.118943188321
2072,391.11368519544095
2073,392.1038593954809
2074,393.0978218569241
2075,394.0830653494072
2076,395.0721403551142
2077,396.06085526427984
2078,397.0512922356458
2079,398.0392781634033
2080,399.01236054793486
2081,399.9997761220758
2082,400.98684615609267
2083,401.9735736810392
2084,402.96411970138104
2085,403.95429272154433
2086,404.9440960134606
2087,405.9335328203601
2088,406.9205273570236
2089,407.9113380468743
2090,408.8976154148841
2091,409.8877152270343
2092,410.87744595311295
2093,411.86888983071725
2094,412.85995283220217
2095,413.8444012985863
2096,414.8347672521075
2097,415.82476178498376
2098,416.8143881552909
2099,417.80572859252516
2100,418.7883730610118
2101,419.7623978411783
2102,420.72787854432585
2103,421.6869691184984
2104,422.63764661745887
2105,423.57998484011273
2106,424.51821493800645
2107,425.45029394732217
2108,426.3741968249772
2109,427.2920742914248
2110,428.20190020114916
2111,429.10374518184085
2112,429.9976792416493
2113,430.88585077461727
2114,431.7662313292259
2115,432.64096824739056
2116,433.51011103469415
2117,434.37162976246
2118,435.2276703084033
2119,436.0762017267506
2120,436.9172898870422
2121,437.75515808101557
2122,438.5877555539891
2123,439.4130495403576
2124,440.231104105793
2125,441.0440617539878
2126,441.8519671947423
2127,442.65278574566565
2128,443.44865857245804
2129,444.23755005866457
2130,445.0216004441149
2131,445.8008521946051
2132,446.57534740342436
2133,447.3430487946224
2134,448.1040159630906
2135,448.86246598095823
2136,449.6142629284937
2137,450.35946516596306
2138,451.10228854170026
2139,451.83859592291344
2140,452.5684444674493
2141,453.2939698317699
2142,454.0172889385088
2143,454.73426314080257
2144,455.4470270957078
2145,456.1535387352192
2146,456.85593190420843
2147,457.5542427296101
2148,458.24642802145564
2149,458.93669951249547
2150,459.620915990456
2151,460.2991305694871
2152,460.9713958978249
2153,461.63776416187903
2154,462.30452409028356
2155,462.9654352473863
2156,463.6247069381987
2157,464.27819554400395
2158,464.92595179361797
2159,465.5680259708669
2160,466.20654691849086
2161,466.83946680517073
2162,467.4709927630201
2163,468.0969790194848
2164,468.7216321684367
2165,469.3408059038013
2166,469.9566272906101
2167,470.5670467354293
2168,471.172111623715
2169,471.77186892526134
2170,472.3663651978468
2171,472.9556465908481
2172,473.5418378488231
2173,474.1249660782194
2174,474.70297914770873
2175,475.2780009271148
2176,475.8479786558243
2177,476.412956579896
2178,476.97713655726534
2179,477.5363675874648
2180,478.09277208231157
2181,478.64429583597547
2182,479.1909816619757
2183,479.73910899827416
2184,480.2824282000437
2185,480.82306044390293
2186,481.35895029965815
2187,481.890139367205
2188,482.4187478815278
2189,482.94479847905825
2190,483.46831359766304
2191,483.98723647838534
2192,484.50368640401354
2193,485.0156060671362
2194,485.5251142068982
2195,486.03015297701313
2196,486.5307615824779
2197,487.026978884386
2198,487.518843402944
2199,488.00639332046205
2200,488.48966648431764
