time,globn2o
1950,
1951,0.9500000000000003
1952,0.9500000000000003
1953,0.9600000000000003
1954,0.9600000000000003
1955,0.9700000000000001
1956,0.9800000000000001
1957,0.9800000000000001
1958,0.9800000000000001
1959,0.9800000000000001
1960,1.6800000000000004
1961,1.6900000000000004
1962,1.7000000000000004
1963,1.7300000000000004
1964,1.7300000000000004
1965,1.7400000000000004
1966,1.7500000000000004
1967,1.7600000000000005
1968,1.7800000000000005
1969,1.7800000000000005
1970,2.56
1971,2.58
1972,2.5900000000000003
1973,2.6100000000000003
1974,2.6100000000000003
1975,2.6100000000000003
1976,2.6400000000000006
1977,2.6800000000000006
1978,2.6900000000000004
1979,2.6900000000000004
1980,4.3500000000000005
1981,4.36
1982,4.380000000000001
1983,4.41
1984,4.449999999999999
1985,4.47
1986,4.48
1987,4.5200000000000005
1988,4.540000000000001
1989,4.580000000000001
1990,4.620000000000001
1991,4.74
1992,4.869999999999999
1993,4.98
1994,5.13
1995,5.26
1996,5.369999999999999
1997,5.5
1998,5.64
1999,5.77
2000,5.89
2001,5.969999999999999
2002,6.02
2003,6.109999999999999
2004,6.1899999999999995
2005,6.24
2006,6.340000000000001
2007,6.390000000000001
2008,6.44
2009,6.49
2010,6.520000000000001
2011,6.61
2012,6.659999999999999
2013,6.709999999999999
2014,6.75
2015,6.8100000000000005
2016,6.86
2017,6.91
2018,6.950000000000001
2019,7.000000000000001
2020,7.040000000000001
2021,7.09
2022,7.130000000000001
2023,7.170000000000001
2024,7.220000000000001
2025,7.220000000000001
2026,7.300000000000001
2027,7.33
2028,7.3999999999999995
2029,7.460000000000001
2030,7.470000000000001
2031,7.53
2032,7.570000000000001
2033,7.610000000000001
2034,7.65
2035,7.670000000000001
2036,7.720000000000001
2037,7.78
2038,7.8100000000000005
2039,7.84
2040,7.8100000000000005
2041,7.88
2042,7.94
2043,7.960000000000001
2044,8.01
2045,8.050000000000002
2046,8.100000000000001
2047,8.15
2048,8.200000000000001
2049,8.23
2050,8.24
2051,8.309999999999999
2052,8.36
2053,8.41
2054,8.47
2055,8.49
2056,8.56
2057,8.61
2058,8.65
2059,8.7
2060,8.72
2061,8.79
2062,8.82
2063,8.87
2064,8.9
2065,8.879999999999999
2066,8.97
2067,8.98
2068,9.06
2069,9.1
2070,9.11
2071,9.19
2072,9.219999999999999
2073,9.239999999999998
2074,9.299999999999999
2075,9.3
2076,9.360000000000001
2077,9.4
2078,9.450000000000001
2079,9.48
2080,9.450000000000001
2081,9.56
2082,9.6
2083,9.64
2084,9.700000000000001
2085,9.74
2086,9.780000000000001
2087,9.82
2088,9.85
2089,9.91
2090,9.93
2091,9.99
2092,10.03
2093,10.079999999999998
2094,10.12
2095,10.13
2096,10.200000000000001
2097,10.24
2098,10.280000000000001
2099,10.330000000000002
2100,10.330000000000002
2101,10.330000000000002
2102,10.330000000000002
2103,10.340000000000002
2104,10.340000000000002
2105,10.340000000000002
2106,10.360000000000001
2107,10.370000000000001
2108,10.370000000000001
2109,10.38
2110,10.38
2111,10.38
2112,10.38
2113,10.39
2114,10.39
2115,10.4
2116,10.410000000000002
2117,10.410000000000002
2118,10.420000000000002
2119,10.420000000000002
2120,10.420000000000002
2121,10.440000000000001
2122,10.450000000000001
2123,10.450000000000001
2124,10.450000000000001
2125,10.46
2126,10.47
2127,10.47
2128,10.48
2129,10.48
2130,10.49
2131,10.5
2132,10.51
2133,10.51
2134,10.51
2135,10.53
2136,10.53
2137,10.53
2138,10.549999999999999
2139,10.549999999999999
2140,10.549999999999999
2141,10.559999999999999
2142,10.579999999999998
2143,10.579999999999998
2144,10.589999999999998
2145,10.589999999999998
2146,10.6
2147,10.61
2148,10.61
2149,10.629999999999999
2150,10.629999999999999
2151,10.629999999999999
2152,10.629999999999999
2153,10.629999999999999
2154,10.659999999999998
2155,10.659999999999998
2156,10.68
2157,10.68
2158,10.68
2159,10.68
2160,10.69
2161,10.69
2162,10.709999999999999
2163,10.709999999999999
2164,10.73
2165,10.73
2166,10.74
2167,10.74
2168,10.74
2169,10.74
2170,10.74
2171,10.74
2172,10.75
2173,10.76
2174,10.76
2175,10.770000000000001
2176,10.770000000000001
2177,10.770000000000001
2178,10.790000000000001
2179,10.790000000000001
2180,10.799999999999999
2181,10.799999999999999
2182,10.799999999999999
2183,10.83
2184,10.83
2185,10.839999999999998
2186,10.839999999999998
2187,10.839999999999998
2188,10.85
2189,10.859999999999998
2190,10.87
2191,10.87
2192,10.88
2193,10.88
2194,10.889999999999999
2195,10.889999999999999
2196,10.889999999999999
2197,10.889999999999999
2198,10.889999999999999
2199,10.889999999999999
2200,10.889999999999999
