time,regions,sf6
1950,USA,
1950,CAN,
1950,WEU,
1950,JPK,
1950,ANZ,
1950,EEU,
1950,FSU,
1950,MDE,
1950,CAM,
1950,LAM,
1950,SAS,
1950,SEA,
1950,CHI,
1950,MAF,
1950,SSA,
1950,SIS,
1951,USA,0.02047361536844346
1951,CAN,0.0031573123119031086
1951,WEU,0.0
1951,JPK,0.0
1951,ANZ,0.0
1951,EEU,0.0
1951,FSU,0.0
1951,MDE,0.006731943368234187
1951,CAM,0.0
1951,LAM,0.0
1951,SAS,0.004981623291204715
1951,SEA,0.0029893113968455696
1951,CHI,0.0
1951,MAF,0.00061404040223535
1951,SSA,0.0005030755709943181
1951,SIS,0.0
1952,USA,0.041633952358552904
1952,CAN,0.006370801094563771
1952,WEU,0.0
1952,JPK,0.0
1952,ANZ,0.0
1952,EEU,0.0
1952,FSU,0.0
1952,MDE,0.013510209370555049
1952,CAM,0.0
1952,LAM,0.0
1952,SAS,0.00998315070506877
1952,SEA,0.005999365045010161
1952,CHI,0.0
1952,MAF,0.0012379335916361622
1952,SSA,0.0010395638817836024
1952,SIS,0.0
1953,USA,0.06351773526527363
1953,CAN,0.009645142118042373
1953,WEU,0.0
1953,JPK,0.0
1953,ANZ,0.0
1953,EEU,0.0
1953,FSU,0.0
1953,MDE,0.0203383561760213
1953,CAM,0.0
1953,LAM,0.0
1953,SAS,0.015005462314776907
1953,SEA,0.009032241793856938
1953,CHI,0.0
1953,MAF,0.0018725816898937531
1953,SSA,0.0016109821794343198
1953,SIS,0.0
1954,USA,0.08616343408611357
1954,CAN,0.012985357058749957
1954,WEU,0.0
1954,JPK,0.0
1954,ANZ,0.0
1954,EEU,0.0
1954,FSU,0.0
1954,MDE,0.0272201848925968
1954,CAM,0.0
1954,LAM,0.0
1954,SAS,0.020049472782720526
1954,SEA,0.012090208047077661
1954,CHI,0.0
1954,MAF,0.0025189602377452586
1954,SSA,0.0022189089522994016
1954,SIS,0.0
1955,USA,0.10961134231700644
1955,CAN,0.01639683748859112
1955,WEU,0.0
1955,JPK,0.0
1955,ANZ,0.0
1955,EEU,0.0
1955,FSU,0.0
1955,MDE,0.03415975511728293
1955,CAM,0.0
1955,LAM,0.0
1955,SAS,0.025116132634978416
1955,SEA,0.015175731274829359
1955,CHI,0.0
1955,MAF,0.003178123796646481
1955,SSA,0.0028649862474269695
1955,SIS,0.0
1956,USA,0.1339036580764033
1956,CAN,0.019885370461206288
1956,WEU,0.0
1956,JPK,0.0
1956,ANZ,0.0
1956,EEU,0.0
1956,FSU,0.0
1956,MDE,0.04116140144177221
1956,CAM,0.0
1956,LAM,0.0
1956,SAS,0.030206429580879067
1956,SEA,0.018291496770794433
1956,CHI,0.0
1956,MAF,0.0038512119607381165
1956,SSA,0.003550922072153541
1956,SIS,0.0
1957,USA,0.15908456869602336
1957,CAN,0.02345716579868664
1957,WEU,0.0
1957,JPK,0.0
1957,ANZ,0.0
1957,EEU,0.0
1957,FSU,0.0
1957,MDE,0.048229750970706003
1957,CAM,0.0
1957,LAM,0.0
1957,SAS,0.0353213898791946
1957,SEA,0.02144042575129964
1957,CHI,0.0
1957,MAF,0.004539455808322266
1957,SSA,0.004278492882854925
1957,SIS,0.0
1958,USA,0.1852003389223355
1958,CAN,0.027118885188689667
1958,WEU,0.0
1958,JPK,0.0
1958,ANZ,0.0
1958,EEU,0.0
1958,FSU,0.0
1958,MDE,0.05536974191296099
1958,CAM,0.0
1958,LAM,0.0
1958,SAS,0.04046207975256899
1958,SEA,0.024625694901054027
1958,CHI,0.0
1958,MAF,0.0052441848241042465
1958,SSA,0.005049546163930867
1958,SIS,0.0
1959,USA,0.21229940287870935
1959,CAN,0.030877673208846816
1959,WEU,0.0
1959,JPK,0.0
1959,ANZ,0.0
1959,EEU,0.0
1959,FSU,0.0
1959,MDE,0.06258664330992127
1959,CAM,0.0
1959,LAM,0.0
1959,SAS,0.04562960685183715
1959,SEA,0.02785075747804881
1959,CHI,0.0
1959,MAF,0.0059668343256327454
1959,SSA,0.005866003100205947
1959,SIS,0.0
1960,USA,0.24043245994427478
1960,CAN,0.03474119040275199
1960,WEU,0.0
1960,JPK,0.0
1960,ANZ,0.0
1960,EEU,0.0
1960,FSU,0.0
1960,MDE,0.06988607596842972
1960,CAM,0.0
1960,LAM,0.0
1960,SAS,0.050825121771947
1960,SEA,0.03111936609874508
1960,CHI,0.0
1960,MAF,0.006708953429698727
1960,SSA,0.0067298613460390865
1960,SIS,0.0
1961,USA,0.2689898673839669
1961,CAN,0.03863134862234553
1961,WEU,0.0
1961,JPK,0.0
1961,ANZ,0.0
1961,EEU,0.0
1961,FSU,0.0
1961,MDE,0.0772838536274591
1961,CAM,0.0
1961,LAM,0.0
1961,SAS,0.056059930461385736
1961,SEA,0.03444676714994176
1961,CHI,0.0
1961,MAF,0.007473923111070623
1961,SSA,0.007672800865790348
1961,SIS,0.0
1962,USA,0.2985211253009769
1962,CAN,0.0426180083952567
1962,WEU,0.0
1962,JPK,0.0
1962,ANZ,0.0
1962,EEU,0.0
1962,FSU,0.0
1962,MDE,0.0847794453983258
1962,CAM,0.0
1962,LAM,0.0
1962,SAS,0.06132767504283656
1962,SEA,0.03782992318724767
1962,CHI,0.0
1962,MAF,0.008262377408430195
1962,SSA,0.008674836007828387
1962,SIS,0.0
1963,USA,0.3290696631183106
1963,CAN,0.0467074226343259
1963,WEU,0.0
1963,JPK,0.0
1963,ANZ,0.0
1963,EEU,0.0
1963,FSU,0.0
1963,MDE,0.09238003729445629
1963,CAM,0.0
1963,LAM,0.0
1963,SAS,0.06662984634253025
1963,SEA,0.04127424602983195
1963,CHI,0.0
1963,MAF,0.009076341065603278
1963,SSA,0.009738838899667123
1963,SIS,0.0
1964,USA,0.3606806693248752
1964,CAN,0.05090621514675511
1964,WEU,0.0
1964,JPK,0.0
1964,ANZ,0.0
1964,EEU,0.0
1964,FSU,0.0
1964,MDE,0.10009330011645955
1964,CAM,0.0
1964,LAM,0.0
1964,SAS,0.07196799649411795
