"","time","S1","S2","S3","E1","E2","E3","I1","I2","I3","R1","R2","R3"
"1",0,10305660,15281905,12154442,50,50,50,50,50,50,0,0,0
"2",1,10305586.4109724,15281804.0578112,12154391.9808693,116.916016530008,143.218557767022,94.2497560389044,53.5909183411437,54.6208309709414,52.7050785413695,3.08209273135364,3.10280004242353,3.06429609386915
"3",2,10305502.9004836,15281689.240108,12154335.9719019,188.274129209177,242.677975887038,140.884309298144,62.2926672734448,66.3851186237431,58.7525718505312,6.53271991662376,6.69679751104078,6.39121692674444
"4",3,10305401.0973898,15281548.7953201,12154269.0831946,271.78218965829,359.198237588748,194.422088487841,76.4543896586031,85.785246234943,68.3101350652038,10.6660308996297,11.2211960726553,10.1845818896824
"5",4,10305271.4822259,15281369.3727974,12154185.788181,375.665147500765,504.312781186525,259.649456116344,97.0177624208248,114.144788178163,81.8936527168317,15.8348642112262,17.1696332241979,14.6687102130568
"6",5,10305102.4003057,15281134.6443821,12154079.3652772,509.574247785396,691.539069055618,342.136986843785,125.558234003324,153.675248155001,100.387983284594,22.4672124988546,25.1413006779054,20.1097526715431
"7",6,10304878.9305491,15280823.7255571,12153941.2596209,685.565827050915,937.745268452916,448.793318984216,164.396421759299,207.630853612422,125.107631443572,31.1072020806629,35.8983207826454,26.8394286254584
"8",7,10304581.4886587,15280409.2269896,12153760.2967697,919.261005737133,1264.76824649126,588.519176380804,216.785329402533,280.569211117766,157.900373497716,42.465006178776,50.4355527989652,35.2836803974846
"9",8,10304184.0240933,15279854.7406419,12153521.6695493,1231.3072240686,1701.45144360258,773.029468574086,287.188014369304,378.738141190537,201.301926265278,57.4806682690757,70.0697733041527,45.99905584244
"10",9,10303651.6419209,15279111.525132,12153205.6033234,1649.28205818083,2286.29831765666,1017.9223211283,381.668299460117,510.620111182338,258.754218524435,77.4077214870564,96.5564391923778,59.7201369229796
"11",10,10302937.4169759,15278114.0663844,12152785.5692561,2210.22784131864,3071.00399378982,1344.10084383029,508.430556557782,687.684407449994,334.907378249051,103.924626214549,132.245214363249,77.4225218179377
"12",11,10301978.1052999,15276774.1026156,12152225.879959,2964.05393527375,4125.19507803536,1779.68069423081,678.556632070435,925.413963702063,436.032313064256,139.284132797291,180.288342676882,100.40703367561
"13",12,10300688.3442557,15274972.5444165,12151478.4378706,3978.13244230244,5542.83153979757,2362.56668881618,907.00877621833,1244.70273408649,570.582457435067,186.514525809025,244.921309596899,130.412983135894
"14",13,10298952.8012528,15272548.5374013,12150478.3322022,5343.51656042277,7450.86878900154,3143.94042975739,1213.99102354892,1673.75236817412,749.956557439442,249.691163192421,331.841441558366,169.770810587233
"15",14,10296615.5276929,15269284.6312324,12149137.8645942,7183.37162901929,10021.0025201219,4192.99262922677,1626.79701035672,2250.64648255058,989.534442592104,334.303667771529,448.719764924824,221.608334007847
"16",15,10293465.5271367,15264886.6730234,12147338.4415084,9664.40410077359,13485.5916059297,5603.34620491574,2182.31610985978,3026.84204764738,1310.08265965603,447.752652666955,605.89332299457,290.129627080597
"17",16,10289217.1927687,15258956.5482795,12144919.5665268,13012.3529028639,18159.2449321884,7501.77852773552,2930.43213955915,4071.90445814491,1739.66243504622,600.022188833813,817.302330209742,380.992510370502
"18",17,10283483.801567,15250955.2374855,12141663.8912222,17532.9751143796,24468.0731741509,10060.0682073692,3938.63250184844,5479.92965813361,2316.22052735969,804.590816784112,1101.75968222754,501.820043095425
"19",18,10275741.6587732,15240152.8223554,12137276.9271849,23640.4221475941,32989.2594104488,13511.0726912864,5298.25347944867,7378.24761928473,3091.10635574025,1079.66559979301,1484.67061484718,662.893768090303
"20",19,10265281.682095,15225560.9423057,12131359.5271984,31895.5269431406,44504.4839796759,18170.5318703803,7132.93671931824,9939.21077338143,4133.84694610388,1449.85424258797,2000.36294125206,878.093985137599
