time,S1,S2,S3,E1,E2,E3,I1,I2,I3,R1,R2,R3,run
0,10305660,15281905,12154442,50,50,50,50,50,50,0,0,0,1
1,10305554.837969005,15281760.72218649,12154370.595968043,147.2879123501008,184.9064508167739,114.81873149203162,54.76844049945464,56.236214225965696,53.50496266794707,3.105678147106596,3.1351484687990023,3.0803377987149236,1
2,10305430.994296622,15281590.28129104,12154288.023833508,255.15710998248016,334.7352275646259,185.44990735327983,67.12543867926537,73.02524272413537,62.00622830668749,6.723154719514268,6.9582386759369745,6.520030835653618,1
3,10305270.803734826,15281368.892802842,12154183.960278094,389.7853873808544,522.1778754387526,271.3756351722966,88.07904334551255,101.79273577358346,76.03297764331653,11.33183445176656,12.13658595079269,10.631109094444888,1
4,10305053.004329488,15281066.759029236,12154046.082020212,569.5812136592418,773.0242084701707,383.2811888612207,119.90532325717973,145.74112083180276,96.8574054745044,17.50913359857975,19.475641465174522,15.779385455374232,1
5,10304749.758073691,15280644.909123894,12153858.381278776,817.878337287025,1119.9259403626288,534.5829781010166,166.3519376994675,210.1322775140568,126.60400661601804,26.01165132430841,30.032658233913864,22.43173651035854,1
6,10304322.999346184,15280050.104448622,12153599.107732698,1166.0723115672113,1606.773479725726,743.1997167906766,233.05354782301097,302.8660397679341,168.47906652869318,37.87479442798924,45.256031889011844,31.21348398513442,1
7,10303719.608617159,15279208.108956605,12153238.054888051,1657.6480681717521,2294.3120021055406,1033.8192804541968,328.198692928947,435.4095111781269,227.14216345931948,54.544621742309005,67.16953011589159,42.98366804030645,1
8,10302864.7915131,15278014.460897624,12152732.842925986,2353.6276203524767,3267.7341212734027,1440.9585444449854,463.52193194570253,624.1798265006489,309.2607195478557,78.05893460442134,98.62515460927489,58.9378100268679,1
9,10301652.830950651,15276321.58635133,12152023.730661817,3340.1291631958056,4647.212329157891,2013.2047275646223,655.7393431633577,892.5447262657582,424.31355791385045,111.3005429911671,143.65659325407242,80.7510527102927,1
10,10299934.080216818,15273920.677231329,12151026.319882387,4738.966635236446,6602.665800914911,2819.1612380569304,928.5991278369253,1273.6800769794295,585.7396241188114,158.35402010956776,207.9768907836998,110.77925544077121,1
11,10297496.612000566,15270516.124859756,12149621.258336138,6722.581677453374,9374.56227922463,3955.827284971195,1315.7963085672677,1814.6311320010914,812.5716073578096,225.01001341372213,299.68172902472025,152.34277153674958,1
12,10294040.321653323,15265689.439299092,12147639.694917325,9535.096318337222,13303.248896710455,5560.425167634818,1865.1032499381217,2582.067581198414,1131.7523897336278,319.4787784022119,430.2442230067781,210.12752531048835,1
13,10289140.404589152,15258848.356851378,12144842.733012617,13521.981605413239,18870.294356264334,7827.099206981382,2644.213705698513,3670.426119851629,1581.4154000101523,453.40009973848106,615.9226725109305,290.75238039810216,1
14,10282195.94955615,15249155.187778404,12140892.43590257,19171.78228727824,26756.6494483125,11030.46856268663,3748.9962411421902,5213.411053450941,2215.5238410693437,643.2719154319939,879.7517198384106,403.5716936804366,1
15,10272357.774366751,15235426.186938686,12135310.967196148,27174.625593138797,37924.24463627428,15558.797276637923,5315.130023033656,7400.211214249435,3110.425066443142,912.4700170773735,1254.3572107963591,561.810460777824,1
16,10258427.545184217,15215990.784581743,12127423.146686012,38503.88758445998,53729.971990921906,21960.587480322563,7534.467258737611,10498.312300135738,4374.096843903459,1294.0999725873892,1785.9311272052507,784.1689897691122,1
17,10238717.621243313,15188495.81214866,12116275.977575233,54529.404476345124,76083.87772866893,31009.770965350574,10677.95758652167,14885.4752488386,6159.162524377079,1835.016693822896,2539.834873837465,1097.0889350458258,1
18,10210858.015704188,15149635.44309779,12100526.454756077,77172.89915440505,107666.71944619756,43796.434834396336,15127.60850982789,21094.356523505758,8681.161011887447,2601.4766315816473,3608.4809325111137,1537.949397646305,1
19,10171533.953318467,15094783.190421602,12078286.27584167,109118.26990983794,152225.08687459162,61852.071630992985,21420.718979274418,29874.340105293293,12244.086660958345,3687.0577924239137,5122.382598519809,2159.5658663869094,1
20,10116136.489960302,15017500.266020479,12046909.47468166,154089.3628974475,214962.8051166266,87320.14691347086,30310.44695711411,42276.359259429424,17275.87449862455,5223.700185138709,7265.569603471888,3036.503906257857,1
21,10093140.726645857,14985415.44014546,12033866.810990177,164385.75997205643,229331.18939518856,93165.90881371968,40875.19783339374,57015.38103124442,23257.32678325394,7358.315548695708,10242.989428112905,4251.953412856556,1
22,10063285.922347179,14943756.252201876,12016916.81636204,180483.75402279795,251798.22062065103,102318.23255549143,51853.301466266304,72331.52609696313,29474.83001023701,10137.022163758886,14119.001080518003,5832.121072238913,1
23,10026231.33808475,14892041.712001853,11995846.935844056,202266.37208575112,282205.75575561303,114728.12462399123,63664.891477796584,88811.4605913911,36168.47503440313,13597.398351702486,18946.071651153554,7798.464497556413,1
24,9981397.363574585,14829455.341579849,11970301.75586322,229855.04243814366,320730.01379786694,130487.57899866544,76706.18752256814,107008.91379354235,43566.244000510305,17801.406464703003,24810.730828750373,10186.42113760945,1
25,9927983.854204008,14754869.824854767,11939790.364120474,263573.73113371443,367832.30427073693,149811.72001964107,91367.87458229616,127470.46019564626,51894.89106947875,22834.540079980965,31832.41067885768,13045.024790412093,1
26,9864981.309752889,14666861.361092301,11903688.602445522,303922.6307264059,424223.3216393944,173027.18020144952,108050.11248979287,150756.66030253295,61389.108850678436,28805.94703091118,40163.656965779795,16437.10850235846,1
27,9791177.35117825,14563717.067711163,11861237.31570428,351558.4208738946,490836.9077350746,200565.23961766736,127174.84601082612,177459.51258486143,72299.42022769876,35849.38193702939,49991.51196890828,20440.024450361278,1
28,9705161.42986093,14443439.425131723,11811537.884912856,407277.7144120485,568808.6312103389,232958.08590477039,149196.02562270965,208217.09008163618,84899.22005411764,44124.83010431061,61539.85357630894,25146.809128265402,1
29,9605330.493626744,14303751.452538293,11753546.147693012,472000.84397182515,659455.2945043431,270836.90738495975,174607.97304902316,243725.71394886205,99491.19294101011,53820.689352408896,75072.53900851104,30667.75198102517,1
30,9489898.592550408,14142106.661859587,11686065.90256285,546753.0747678593,764251.3789203019,314930.52173528867,203951.9356485652,284749.75522212364,116413.24416334672,65156.397033165136,90897.2039979961,37132.33153852423,1
31,9356913.900657227,13955708.520707443,11607743.380729863,632640.1083613861,884798.1256698311,366063.16822521674,237820.6043748803,332128.78674313327,136043.95951635737,78385.3866065055,109369.56687960016,44691.491528572325,1
32,9204286.845184447,13741544.488913711,11517064.205212189,730814.8012617578,1022780.9952896571,425150.0791529455,276860.0977917608,386781.42994335026,158807.47886356217,93798.2557620322,130898.08585328907,53520.236771311706,1
33,9029833.648324873,13496440.645200994,11412354.884189783,842431.5699685301,1179910.5267914806,493189.0069110473,321768.8283896769,449705.11359247,185177.61624814954,111725.95331691751,155948.7144150603,63820.49265102815,1
34,8831339.581719259,13217143.024262391,11291791.069988335,968585.327339655,1357842.0330404255,571245.8893820172,373292.3067936868,521970.45104852493,215680.8594441115,132542.7841473979,185049.49164866257,75824.18118554425,1
35,8606646.332035381,12900432.12217786,11153415.317867976,1110231.9012546744,1558069.5339491186,660432.4624816886,432212.8101954211,604708.743500324,250897.78624861903,156668.95651452141,218794.60037270194,89796.43340172424,1
36,8353768.084232803,12543277.611812256,10995167.827898439,1268087.156177205,1781789.4353029414,761873.144841774,499332.4601073938,699090.5578676357,291462.2003410339,184572.29948259573,257847.3950171716,106038.82691876266,1
37,8071034.92533896,12143032.458764458,10814932.180487365,1442507.2132813064,2029736.290847662,876659.9465185689,575449.0655378785,806294.3466201021,338057.39508710423,216768.79584185279,302941.90376778186,124892.47790697282,1
38,7757266.56501742,11697671.99199027,10610600.658784337,1633349.054782515,2301988.380715085,1005792.0654135889,661323.0140889081,927462.5882801533,391408.470507458,253821.36611115414,354882.0390144956,146740.80529462604,1
39,7411968.503173404,11206069.070126781,10380160.854469132,1839820.2888451659,2597753.563871893,1150099.6641825472,757634.8281256454,1063644.5979239487,452269.79758114717,296336.3798557819,414537.76807738014,172011.68376718467,1
40,7035539.079850732,10668291.628440168,10121804.61651179,2060330.060302447,2915150.1451708293,1310152.006876312,864933.4776537506,1215725.726660651,521406.6866216264,344957.38219306635,482837.499728355,201178.6899902827,1
41,6629469.5652202265,10085900.246853773,9834058.767901914,2292358.253720791,3251004.7512798905,1486151.7620222438,983576.7488674915,1384344.2132457974,599570.4301468292,400355.43219148816,560755.788620544,234761.03992902546,1
42,6196511.018207274,9462211.206691405,9515933.219017092,2532366.896025168,3600699.1905315924,1677820.7550558797,1113666.3796754302,1569798.8256290194,687466.2040173672,463215.7060921252,649295.7771479867,273321.8219096744,1
43,5740776.887695148,8802482.622714104,9167078.560485633,2775780.335139224,3958103.30781674,1884285.4600300286,1254982.6150820036,1771953.112766293,785713.8893542296,534220.1620836228,749465.9567028676,317464.09013012156,1
44,5267748.612427405,8113976.665166515,8787940.758594928,3017060.352841451,4315632.365203228,2103974.1661846545,1406924.623778465,1990144.6924530137,894802.6649211072,614026.4109526768,862251.2771772473,367824.4102993222,1
45,4784156.049850561,7405854.235908273,8379896.3470546715,3249895.9652049034,4664461.302296664,2334540.9214960686,1568464.597734082,2223110.2261686707,1015041.1914153894,703243.3872104519,988579.2356263978,425063.540033882,1
46,4297717.3443017155,6688872.910732846,7945348.7803767845,3467513.744334561,4994911.694632669,2572832.7734375345,1738124.0257879985,2468938.1646757224,1146506.3875787705,802404.8855757229,1129282.2299587692,489854.0586069225,1
