,"[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)",75+
"[0,5)",2.473544974,2.939153439,1.658730159,1.153439153,1.441798942,1.716931217,1.193121693,0.785714286,0.507936508,0.378306878,0.378306878,0.35978836,0.78042328,0.468253968,0.253968254,0.285714286
"[5,10)",2.116336634,6.368811881,3.054455446,1.205445545,1.160891089,1.70049505,1.727722772,1.232673267,0.663366337,0.438118812,0.410891089,0.405940594,0.891089109,0.561881188,0.339108911,0.334158416
"[10,15)",1.495575221,2.955752212,6.825958702,2.477876106,1.250737463,1.516224189,1.761061947,1.489675516,0.979351032,0.592920354,0.483775811,0.330383481,0.743362832,0.539823009,0.395280236,0.389380531
"[15,20)",1.411764706,1.366515837,2.235294118,4.733031674,2.122171946,1.334841629,1.122171946,1.190045249,1.076923077,0.742081448,0.538461538,0.343891403,0.538461538,0.529411765,0.384615385,0.330316742
"[20,25)",1.995867769,1.433884298,1.227272727,1.867768595,2.673553719,2.128099174,1.227272727,0.94214876,0.826446281,0.921487603,0.685950413,0.433884298,0.743801653,0.516528926,0.334710744,0.396694215
"[25,30)",2.25,2.011029412,1.283088235,1.110294118,1.805147059,2.404411765,1.823529412,1.330882353,0.963235294,0.731617647,0.636029412,0.625,0.948529412,0.573529412,0.455882353,0.496323529
"[30,35)",1.679389313,2.290076336,1.778625954,1.118320611,1.270992366,1.832061069,2.110687023,1.84351145,1.221374046,0.980916031,0.786259542,0.683206107,1.080152672,0.744274809,0.622137405,0.511450382
"[35,40)",1.5,2.038461538,2.104395604,1.384615385,1.17032967,1.472527473,1.802197802,1.807692308,1.445054945,0.813186813,0.664835165,0.549450549,0.89010989,0.67032967,0.538461538,0.450549451
"[40,45)",0.934782609,1.336956522,1.673913043,1.75,1.195652174,1.043478261,1.152173913,1.72826087,1.869565217,1.326086957,0.836956522,0.652173913,0.706521739,0.847826087,0.554347826,0.543478261
"[45,50)",1.078947368,1.065789474,1.552631579,1.855263158,1.763157895,1.513157895,1.236842105,1.25,1.828947368,1.578947368,1.315789474,0.934210526,0.842105263,0.723684211,0.684210526,0.671052632
"[50,55)",1.977777778,1.288888889,1.6,1.511111111,2.511111111,1.755555556,1.377777778,1.222222222,1.088888889,1.466666667,1.844444444,1.088888889,0.755555556,0.711111111,0.822222222,0.733333333
"[55,60)",1.74,1.76,1.3,1.2,0.96,1.98,1.52,1.1,0.92,0.72,0.92,0.72,1,0.44,0.38,0.46
"[60,65)",1.86163522,2.125786164,1.339622642,0.987421384,1.245283019,1.603773585,1.616352201,1.421383648,1.018867925,0.773584906,0.811320755,0.704402516,1.169811321,0.710691824,0.490566038,0.459119497
"[65,70)",1.424528302,1.783018868,1.490566038,1.311320755,1.028301887,1.169811321,1.330188679,1.349056604,1.254716981,0.660377358,0.896226415,0.537735849,0.962264151,0.830188679,0.518867925,0.490566038
"[70,75)",0.927272727,1.327272727,1.6,1.218181818,0.709090909,1,1.272727273,1.236363636,1.036363636,0.418181818,0.490909091,0.345454545,0.490909091,0.545454545,0.690909091,0.418181818
75+,1.383333333,1.35,1.5,1.033333333,1,1,0.983333333,0.983333333,0.85,0.816666667,0.683333333,0.45,0.683333333,0.55,0.483333333,0.433333333
