"","country","age_group","n","matrix","iso3c"
"1","Colombia","0-4",3710699,13,"COL"
"2","Colombia","5-9",3703456,13,"COL"
"3","Colombia","10-14",3873485,13,"COL"
"4","Colombia","15-19",4246391,13,"COL"
"5","Colombia","20-24",4421466,13,"COL"
"6","Colombia","25-29",4425595,13,"COL"
"7","Colombia","30-34",4056807,13,"COL"
"8","Colombia","35-39",3753492,13,"COL"
"9","Colombia","40-44",3421069,13,"COL"
"10","Colombia","45-49",3029718,13,"COL"
"11","Colombia","50-54",2908465,13,"COL"
"12","Colombia","55-59",2635515,13,"COL"
"13","Colombia","60-64",2086450,13,"COL"
"14","Colombia","65-69",1684908,13,"COL"
"15","Colombia","70-74",1187636,13,"COL"
"16","Colombia","75-79",792125,13,"COL"
"17","Colombia","80+",945607,13,"COL"
