,country,age_group,n,matrix,iso3c
1,France,0-4,3619987,9,FRA
2,France,9-May,3907487,9,FRA
3,France,14-Oct,3995688,9,FRA
4,France,15-19,3887789,9,FRA
5,France,20-24,3697019,9,FRA
6,France,25-29,3674010,9,FRA
7,France,30-34,3941533,9,FRA
8,France,35-39,4069517,9,FRA
9,France,40-44,3943397,9,FRA
10,France,45-49,4382270,9,FRA
11,France,50-54,4363401,9,FRA
12,France,55-59,4271656,9,FRA
13,France,60-64,3973248,9,FRA
14,France,65-69,3791538,9,FRA
15,France,70-74,3523616,9,FRA
16,France,75-79,2204088,9,FRA
17,France,80+,4027268,9,FRA
