,country,age_group,n,matrix,iso3c
1,United Kingdom,0-4,3924490,1,GBR
2,United Kingdom,5-9,4119566,1,GBR
3,United Kingdom,10-14,3956340,1,GBR
4,United Kingdom,15-19,3686133,1,GBR
5,United Kingdom,20-24,4074640,1,GBR
6,United Kingdom,25-29,4484067,1,GBR
7,United Kingdom,30-34,4706828,1,GBR
8,United Kingdom,35-39,4588196,1,GBR
9,United Kingdom,40-44,4308130,1,GBR
10,United Kingdom,45-49,4296121,1,GBR
11,United Kingdom,50-54,4634540,1,GBR
12,United Kingdom,55-59,4538925,1,GBR
13,United Kingdom,60-64,3905016,1,GBR
14,United Kingdom,65-69,3381761,1,GBR
15,United Kingdom,70-74,3388488,1,GBR
16,United Kingdom,75-79,2442147,1,GBR
17,United Kingdom,80+,3450616,1,GBR
