.time,covid.count,hosp.count,vacc.count,recovered.count
1,39,0,15,0
2,91,0,9,0
3,132,0,7,0
4,168,0,9,0
5,213,1,8,0
6,246,1,9,0
7,289,1,8,0
8,324,2,8,0
9,375,2,10,0
10,405,2,10,0
11,407,2,10,39
12,401,2,11,91
13,392,3,9,132
14,393,3,5,168
15,379,2,7,213
16,388,3,13,246
17,382,3,6,289
18,383,3,7,324
19,371,5,8,375
20,372,5,9,405
21,360,5,8,446
22,338,5,9,492
23,337,4,12,524
24,333,4,16,561
25,336,5,13,592
26,333,4,8,634
27,327,4,16,671
28,324,3,8,707
29,324,1,11,746
30,332,2,12,777
31,328,2,12,806
32,333,3,11,830
33,336,3,8,861
34,334,3,13,894
35,329,2,14,928
36,336,2,6,967
37,351,2,12,998
38,355,2,8,1031
39,351,3,11,1070
40,344,3,7,1109
41,367,3,7,1134
42,368,2,4,1163
43,373,2,11,1197
44,366,2,10,1228
45,372,2,9,1257
46,360,2,11,1303
47,346,3,9,1349
48,341,3,6,1386
49,346,2,10,1421
50,345,1,4,1453
51,325,1,5,1501
52,336,1,10,1531
53,341,1,13,1570
54,349,1,10,1594
55,339,2,7,1629
56,333,2,6,1663
57,334,1,7,1695
58,334,1,10,1727
59,318,1,12,1767
60,323,1,7,1798
61,316,1,10,1826
62,299,1,5,1867
63,283,1,10,1911
64,286,1,9,1943
65,296,0,14,1968
66,297,0,7,1996
67,294,0,11,2029
68,287,0,4,2061
69,297,0,5,2085
70,287,0,14,2121
71,294,1,11,2142
72,300,1,4,2166
73,295,1,4,2194
74,287,1,12,2229
75,281,1,6,2264
76,278,1,9,2293
77,283,1,13,2323
78,280,1,8,2348
79,273,1,3,2382
80,274,1,14,2408
81,272,0,12,2436
82,265,0,12,2466
83,270,0,10,2489
84,268,0,8,2516
85,276,0,8,2545
86,278,0,4,2571
87,259,0,6,2606
88,266,0,9,2628
89,265,1,12,2655
90,271,1,7,2682
91,278,1,5,2708
92,280,1,11,2731
93,272,1,17,2759
94,268,2,3,2784
95,257,3,14,2821
96,249,3,17,2849
97,265,3,11,2865
98,257,3,11,2894
99,256,4,15,2920
100,252,4,8,2953
101,240,4,11,2986
102,236,5,8,3011
103,236,5,13,3031
104,242,4,12,3052
105,245,4,6,3078
106,248,4,9,3098
107,242,5,13,3130
108,239,6,5,3151
109,234,4,7,3176
110,229,4,8,3205
111,231,4,7,3226
112,242,3,11,3247
113,244,4,11,3267
114,238,6,7,3294
115,229,6,4,3323
116,225,8,7,3346
117,231,10,14,3372
118,237,10,5,3390
119,235,10,10,3410
120,231,11,12,3434
121,220,13,8,3457
122,210,13,7,3489
123,211,12,8,3511
124,216,11,9,3532
125,220,11,11,3552
126,223,11,7,3571
127,213,10,12,3603
128,213,13,12,3627
129,223,15,7,3645
130,233,16,8,3665
131,240,14,9,3677
132,244,17,7,3699
133,240,17,10,3722
134,243,17,14,3748
135,236,18,5,3772
136,234,16,3,3794
137,228,17,12,3816
138,232,14,10,3840
139,232,13,8,3868
140,218,14,7,3898
141,224,16,11,3917
142,214,13,4,3943
143,213,13,10,3962
144,208,13,6,3991
145,214,11,9,4008
146,214,12,4,4028
147,215,11,9,4044
148,204,11,14,4072
149,199,10,4,4100
150,198,9,12,4116
151,194,9,5,4141
152,197,10,7,4157
153,200,11,7,4175
154,198,10,9,4199
155,191,12,5,4222
156,190,14,7,4242
157,185,12,7,4259
158,190,13,5,4276
159,184,14,6,4299
160,184,13,9,4314
161,183,17,10,4335
162,186,18,17,4354
163,180,18,10,4375
164,176,21,12,4397
165,177,22,8,4413
166,173,20,12,4432
167,179,20,4,4444
168,178,20,12,4466
169,187,22,6,4483
170,188,22,11,4498
171,187,17,12,4518
172,190,16,8,4540
173,190,15,9,4555
174,190,13,5,4573
175,195,13,4,4590
176,200,16,6,4605
177,197,18,6,4623
178,195,20,6,4644
179,188,21,6,4670
180,193,21,10,4686
181,191,20,6,4705
182,182,19,6,4730
183,187,19,8,4745
184,190,19,9,4763
185,186,17,8,4785
186,188,18,5,4805
187,192,23,8,4820
188,198,23,7,4839
189,194,20,12,4858
190,184,21,12,4879
191,188,22,9,4896
192,199,25,3,4912
193,189,26,11,4932
194,181,28,9,4953
195,188,28,5,4971
196,183,24,7,4993
197,185,19,19,5012
198,181,19,6,5037
199,185,20,5,5052
200,188,19,11,5063
201,185,19,5,5084
202,173,17,7,5111
203,180,16,10,5121
204,183,14,6,5134
205,172,15,10,5159
206,168,15,6,5176
207,168,15,10,5197
208,162,16,9,5218
209,169,17,10,5237
210,171,19,4,5251
211,166,20,8,5269
212,169,20,9,5284
213,165,23,5,5301
214,161,24,11,5317
215,163,25,7,5331
216,173,29,6,5344
217,170,27,9,5365
218,172,25,10,5380
219,156,24,12,5406
220,163,24,14,5422
221,166,24,10,5435
222,164,25,4,5453
223,167,22,6,5466
224,168,22,7,5478
225,166,22,7,5494
226,164,19,5,5517
227,159,21,8,5535
228,151,19,14,5552
229,161,18,6,5562
230,154,15,4,5585
231,151,14,15,5601
232,146,13,7,5617
233,137,13,11,5633
234,138,13,4,5646
235,133,12,7,5660
236,132,11,7,5681
237,136,9,10,5694
238,139,10,7,5703
239,132,11,6,5723
240,129,13,5,5739
241,133,16,10,5752
242,138,17,8,5763
243,142,19,4,5770
244,141,22,7,5784
245,155,23,9,5793
246,146,24,8,5813
247,142,25,4,5830
248,144,27,6,5842
249,149,28,8,5855
250,143,28,9,5868
251,142,26,7,5885
252,134,25,8,5901
253,143,28,10,5912
254,141,24,5,5925
255,129,26,4,5948
256,136,30,8,5959
257,140,36,6,5972
258,139,34,8,5986
259,129,34,10,6004
260,138,35,7,6011
261,134,34,9,6027
262,138,35,8,6035
263,133,34,4,6055
264,137,36,10,6066
265,142,34,8,6077
266,138,35,9,6095
267,146,33,11,6112
268,151,36,4,6125
269,154,34,7,6133
270,151,32,11,6149
271,157,35,6,6161
272,167,40,3,6173
273,173,41,7,6188
274,173,43,7,6203
275,170,42,5,6219
276,164,40,10,6233
277,154,35,8,6258
278,149,30,4,6276
279,148,32,6,6287
280,143,34,2,6300
281,138,34,12,6318
282,126,29,8,6340
283,121,30,6,6361
284,117,26,14,6376
285,122,30,5,6389
286,127,29,14,6397
287,127,31,9,6412
288,120,34,12,6425
289,126,33,5,6435
290,127,33,12,6443
291,128,30,6,6456
292,136,36,9,6466
293,132,33,5,6482
294,132,36,6,6493
295,121,35,8,6511
296,119,35,6,6524
297,111,34,6,6539
298,110,32,10,6545
299,108,32,11,6561
300,112,33,4,6570
301,109,33,6,6584
302,99,27,4,6602
303,104,29,11,6614
304,102,28,9,6625
305,100,25,8,6632
306,98,25,5,6643
307,107,28,10,6650
308,115,31,5,6655
309,113,36,7,6669
310,107,35,7,6682
311,106,38,12,6693
312,106,37,6,6701
313,97,34,7,6718
314,97,32,11,6727
315,104,32,14,6732
316,110,29,9,6741
317,97,29,5,6757
318,96,26,7,6770
319,93,21,9,6782
320,97,18,8,6789
321,97,20,8,6799
322,92,20,8,6807
323,93,20,6,6815
324,96,20,7,6824
325,92,21,5,6836
326,88,23,7,6851
327,94,19,9,6854
328,92,24,9,6866
329,91,25,9,6875
330,94,28,5,6886
331,91,24,12,6896
332,101,25,10,6899
333,101,25,7,6908
334,106,28,3,6920
335,105,26,8,6928
336,100,25,6,6939
337,99,28,6,6948
338,102,23,7,6958
339,109,27,5,6966
340,106,28,9,6980
341,110,27,9,6987
342,105,32,7,7000
343,106,32,2,7009
344,94,30,6,7026
345,97,29,4,7033
346,98,30,10,7039
347,101,29,6,7047
348,98,30,5,7060
349,97,24,7,7075
350,96,24,10,7086
351,95,25,10,7097
352,97,21,9,7105
353,96,21,6,7115
354,99,21,7,7120
355,106,25,3,7130
356,103,25,8,7137
357,104,25,10,7148
358,117,27,7,7158
359,114,31,9,7172
360,114,32,4,7182
361,112,34,3,7192
362,110,32,12,7202
363,105,36,7,7211
364,105,36,5,7219
365,95,33,10,7236
366,100,35,8,7240
367,105,37,7,7252
368,96,39,9,7275
369,91,42,10,7286
370,91,39,4,7296
371,92,40,4,7304
372,97,41,10,7312
373,103,37,5,7316
374,100,41,7,7324
375,99,41,3,7331
376,100,38,4,7340
377,87,39,7,7357
378,80,35,6,7371
379,80,28,4,7377
380,74,29,11,7387
381,70,25,8,7396
382,63,25,9,7409
383,63,24,4,7419
384,64,21,9,7424
385,69,20,5,7430
386,67,22,7,7440
387,70,22,7,7444
388,70,22,8,7451
389,77,25,7,7457
390,82,26,8,7461
391,83,29,3,7466
392,81,30,6,7472
393,75,29,7,7482
394,79,31,11,7488
395,74,32,9,7499
396,75,29,5,7507
397,75,26,11,7514
398,75,25,5,7521
399,65,23,9,7534
400,61,20,9,7543
401,60,19,9,7549
402,67,18,6,7553
403,66,20,6,7557
404,62,16,3,7567
405,64,17,5,7573
406,61,17,8,7582
407,63,15,5,7589
408,62,15,1,7596
409,72,15,7,7599
410,76,19,8,7604
411,74,18,7,7609
412,73,19,8,7620
413,81,19,4,7623
414,82,20,8,7629
415,82,19,8,7637
416,83,19,3,7643
417,82,23,7,7652
418,88,22,9,7658
419,85,23,7,7671
420,83,22,6,7680
421,89,20,7,7683
422,97,23,11,7693
423,95,23,10,7704
424,93,24,7,7711
425,88,27,3,7719
426,87,28,8,7726
427,85,24,8,7734
428,80,27,8,7746
429,76,26,7,7756
430,77,23,9,7763
431,73,25,8,7772
432,62,24,6,7790
433,62,26,4,7799
434,64,28,5,7804
435,65,24,5,7807
436,65,24,7,7813
437,62,25,8,7819
438,63,25,4,7826
439,64,26,2,7832
440,70,27,3,7840
441,73,28,14,7845
442,74,27,7,7852
443,73,27,6,7861
444,71,23,6,7868
445,74,25,10,7872
446,71,24,9,7878
447,75,27,5,7881
448,76,26,8,7889
449,73,25,5,7896
450,68,26,12,7910
451,67,25,5,7918
452,60,22,10,7926
453,58,19,4,7934
454,62,22,6,7939
455,64,23,3,7946
456,69,26,9,7949
457,70,26,5,7956
458,67,26,8,7965
459,68,28,4,7969
460,65,28,5,7978
461,68,30,9,7985
462,72,30,8,7986
463,75,33,7,7992
464,73,33,12,8001
465,72,34,7,8010
466,69,36,5,8018
467,70,36,6,8026
468,69,37,5,8032
469,67,34,8,8037
470,67,32,7,8043
471,65,32,13,8053
472,66,31,3,8058
473,64,28,9,8067
474,65,28,4,8074
475,63,28,3,8082
476,65,26,13,8087
477,62,23,11,8096
478,60,23,9,8101
479,62,26,2,8104
480,58,27,6,8110
481,56,27,5,8118
482,59,29,3,8124
483,55,29,6,8131
484,54,29,6,8139
485,56,26,12,8145
486,56,25,7,8152
487,57,27,5,8158
488,62,25,4,8161
489,64,24,4,8166
490,69,28,3,8168
491,72,26,10,8174
492,66,26,2,8183
493,66,28,7,8186
494,65,26,12,8193
495,67,29,3,8201
496,63,27,5,8208
497,72,27,11,8215
498,74,31,4,8223
499,72,32,7,8230
500,73,30,7,8237
501,70,31,9,8246
502,70,33,6,8249
503,77,32,6,8252
504,77,33,6,8258
505,76,34,4,8268
506,80,35,8,8271
507,69,32,7,8287
508,62,27,4,8297
509,59,25,7,8302
510,59,23,2,8310
511,61,24,10,8316
512,61,20,6,8319
513,55,19,8,8329
514,55,16,5,8335
515,49,15,9,8344
516,45,15,8,8351
517,43,15,5,8356
518,41,17,4,8359
519,43,17,11,8361
520,43,17,6,8369
521,41,14,5,8377
522,44,17,7,8380
523,44,18,7,8384
524,47,21,6,8390
525,49,18,9,8393
526,51,19,5,8396
527,54,23,6,8399
528,60,24,7,8400
529,60,24,6,8404
530,58,25,5,8412
531,55,27,6,8418
532,58,28,5,8424
533,54,26,3,8428
534,54,28,9,8437
535,53,30,5,8442
536,53,28,6,8447
537,56,29,6,8453
538,54,29,5,8460
539,54,29,5,8464
540,52,29,7,8470
541,52,28,7,8473
542,50,28,10,8482
543,54,31,4,8482
544,48,28,2,8491
545,48,25,9,8495
546,47,27,5,8500
547,40,26,9,8509
548,42,24,4,8514
549,41,23,5,8518
550,43,24,8,8522
551,44,26,13,8525
552,42,25,2,8532
553,45,24,4,8536
554,50,27,8,8539
555,52,27,5,8543
556,57,27,7,8547
557,59,25,9,8549
558,54,26,9,8556
559,55,25,4,8559
560,54,23,6,8565
561,54,20,5,8569
562,54,21,3,8574
563,53,22,7,8581
564,50,21,10,8589
565,48,22,8,8595
566,45,24,5,8604
567,48,24,10,8608
568,49,23,6,8610
569,46,26,4,8614
570,44,24,6,8619
571,44,25,5,8623
572,42,23,9,8628
573,41,22,7,8634
574,44,19,4,8639
575,43,21,8,8643
576,42,20,9,8649
577,37,19,5,8656
578,41,22,4,8659
579,45,23,5,8660
580,47,27,4,8663
581,44,25,6,8667
582,45,26,0,8670
583,44,25,6,8675
584,46,28,5,8683
585,50,28,6,8686
586,53,26,5,8691
587,60,28,2,8693
588,58,27,8,8700
589,55,24,5,8705
590,55,22,5,8710
591,56,24,7,8711
592,53,23,7,8715
593,58,25,5,8719
594,53,24,8,8729
595,53,25,4,8736
596,46,23,3,8744
597,41,24,5,8753
598,38,21,4,8758
599,38,21,5,8760
600,36,20,5,8765
601,35,18,4,8767
602,37,17,4,8768
603,31,17,7,8777
604,29,15,5,8782
605,26,14,9,8789
606,26,16,6,8790
607,24,12,6,8794
608,30,15,6,8796
609,31,18,4,8798
610,32,19,7,8801
