.time,covid.count,hosp.count,vacc.count,recovered.count
1,39,0,28,0
2,92,0,20,0
3,133,0,29,0
4,170,0,4,0
5,214,0,3,0
6,249,0,17,0
7,295,1,11,0
8,330,2,20,0
9,382,2,12,0
10,413,2,14,0
11,416,3,34,39
12,406,4,31,92
13,395,4,20,133
14,392,4,17,170
15,377,4,9,214
16,383,4,26,249
17,370,3,21,295
18,364,2,17,330
19,345,3,6,382
20,345,3,19,413
21,331,3,23,455
22,313,3,30,498
23,319,3,21,528
24,320,3,35,562
25,325,3,19,591
26,322,4,16,632
27,320,4,25,665
28,325,4,8,694
29,335,3,29,727
30,346,3,12,758
31,345,2,21,786
32,347,1,25,811
33,344,1,25,847
34,339,2,12,882
35,338,2,14,916
36,348,1,17,954
37,364,2,28,985
38,364,2,12,1019
39,355,2,11,1062
40,347,2,7,1104
41,366,2,17,1131
42,366,2,20,1158
43,367,2,10,1191
44,362,1,13,1221
45,364,1,10,1254
46,353,1,20,1302
47,339,1,7,1349
48,333,2,7,1383
49,345,2,34,1417
50,339,2,7,1451
51,322,2,14,1497
52,331,2,9,1524
53,334,2,18,1558
54,339,4,23,1583
55,333,4,7,1618
56,317,4,4,1655
57,316,3,20,1688
58,318,2,13,1716
59,292,2,24,1762
60,297,2,8,1790
61,288,2,20,1819
62,279,2,19,1855
63,272,2,32,1892
64,272,0,9,1922
65,273,0,33,1951
66,279,0,22,1972
67,275,0,18,2004
68,270,0,12,2034
69,280,0,2,2054
70,276,0,13,2087
71,280,0,23,2107
72,276,1,5,2134
73,269,2,15,2164
74,274,3,13,2194
75,268,3,25,2224
76,271,3,8,2251
77,268,3,15,2279
78,270,3,19,2304
79,260,4,9,2334
80,259,4,4,2363
81,254,5,28,2387
82,252,4,15,2410
83,253,4,30,2433
84,233,3,7,2468
85,242,3,17,2492
86,235,4,22,2522
87,228,4,3,2547
88,226,4,11,2574
89,230,3,26,2594
90,230,3,9,2622
91,247,2,18,2641
92,250,2,12,2662
93,244,1,35,2686
94,249,2,11,2701
95,238,3,12,2734
96,233,4,10,2757
97,239,7,12,2775
98,240,7,26,2800
99,244,7,29,2824
100,239,7,18,2852
101,223,8,31,2888
102,218,10,6,2912
103,226,10,21,2930
104,234,9,24,2950
105,238,9,2,2972
106,238,8,14,2990
107,237,6,36,3014
108,229,7,12,3040
109,217,8,7,3068
110,210,8,15,3091
111,209,8,14,3111
112,214,6,13,3130
113,208,6,23,3156
114,198,9,9,3184
115,198,10,21,3210
116,196,11,8,3228
117,195,11,20,3251
118,199,10,3,3269
119,197,11,11,3285
120,196,14,9,3301
121,190,13,16,3320
122,183,14,7,3344
123,185,16,9,3364
124,190,13,15,3382
125,189,12,21,3408
126,190,12,25,3424
127,186,12,14,3446
128,182,15,17,3468
129,184,16,10,3482
130,195,16,17,3497
131,199,18,15,3510
132,198,19,11,3527
133,196,18,15,3549
134,197,19,13,3572
135,193,20,5,3597
136,196,20,14,3614
137,195,20,18,3632
138,198,17,3,3650
139,209,16,17,3666
140,200,16,22,3692
141,208,15,5,3709
142,214,17,13,3725
143,217,20,14,3745
144,211,21,5,3769
145,208,21,21,3790
146,207,20,16,3810
147,205,23,9,3827
148,199,25,25,3848
149,194,26,9,3875
150,193,25,14,3892
151,189,25,14,3917
152,181,23,20,3939
153,177,20,20,3962
154,181,23,10,3980
155,175,23,16,3998
156,175,26,10,4017
157,180,23,8,4032
158,185,28,16,4047
159,184,29,4,4069
160,184,29,19,4085
161,177,28,7,4106
162,176,27,11,4120
163,173,27,3,4139
164,178,24,14,4161
165,183,23,10,4173
166,181,23,19,4192
167,177,25,3,4212
168,168,18,19,4232
169,169,16,16,4253
170,166,15,13,4269
171,166,19,22,4283
172,177,21,10,4296
173,179,22,10,4312
174,170,23,12,4339
175,170,25,8,4356
176,167,27,8,4373
177,163,26,19,4389
178,167,29,16,4400
179,166,33,6,4422
180,174,38,12,4435
181,179,37,5,4449
182,167,38,5,4473
183,161,38,12,4491
184,164,40,10,4509
185,161,40,15,4526
186,168,35,4,4540
187,173,39,21,4552
188,174,40,21,4567
189,164,36,24,4588
190,160,32,23,4609
191,152,36,2,4628
192,161,38,14,4640
193,157,37,17,4652
194,145,35,16,4673
195,148,34,24,4687
196,138,36,19,4708
197,141,32,12,4725
198,138,34,11,4741
199,149,34,16,4752
200,149,36,14,4769
201,148,34,1,4780
202,149,33,24,4801
203,160,34,13,4809
204,169,38,15,4818
205,170,41,23,4835
206,172,44,23,4846
207,170,46,15,4866
208,174,41,8,4879
209,169,43,7,4901
210,168,43,2,4918
211,171,43,13,4928
212,165,40,4,4950
213,166,42,19,4969
214,164,36,6,4987
215,160,36,20,5005
216,167,34,8,5018
217,161,39,21,5036
218,160,44,15,5053
219,157,43,15,5070
220,161,42,5,5086
221,160,42,8,5099
222,162,46,5,5115
223,154,45,7,5135
224,150,49,4,5151
225,151,49,7,5165
226,143,47,14,5185
227,145,42,14,5197
228,141,38,15,5213
229,150,42,15,5227
230,144,46,3,5247
231,145,43,9,5259
232,140,39,9,5277
233,137,38,6,5289
234,142,35,3,5301
235,139,36,12,5316
236,137,39,13,5328
237,139,38,13,5342
238,145,43,15,5354
239,135,41,12,5377
240,130,40,2,5391
241,132,43,21,5404
242,128,47,11,5417
243,133,52,1,5426
244,124,55,3,5443
245,134,52,18,5455
246,142,50,8,5465
247,139,54,10,5481
248,131,48,11,5499
249,137,49,16,5512
250,140,50,14,5521
251,146,54,4,5536
