.time,covid.count,hosp.count,vacc.count,recovered.count
1,54,4,15,0
2,115,7,9,0
3,162,12,7,0
4,206,18,9,0
5,259,26,8,0
6,299,30,9,0
7,350,35,8,0
8,393,44,8,0
9,454,50,10,0
10,493,54,10,0
11,490,59,10,4
12,499,69,11,7
13,491,84,9,12
14,492,82,5,18
15,484,80,7,26
16,498,91,14,30
17,498,93,6,35
18,490,92,8,44
19,493,100,8,50
20,489,105,9,54
21,485,103,9,63
22,454,95,9,75
23,484,86,12,94
24,467,91,16,99
25,499,95,13,105
26,479,94,8,118
27,506,98,16,125
28,491,102,8,132
29,505,98,12,145
30,524,111,12,152
31,512,105,13,160
32,536,131,11,165
33,527,124,8,174
34,544,123,13,183
35,530,128,14,194
36,561,138,6,203
37,552,129,12,214
38,575,150,9,225
39,567,155,12,232
40,573,140,7,250
41,591,141,8,260
42,586,129,5,271
43,596,143,11,277
44,597,157,10,287
45,581,154,10,300
46,608,148,11,311
47,572,150,9,324
48,585,145,7,341
49,580,157,10,347
50,585,165,5,354
51,550,171,5,363
52,587,167,10,368
53,575,160,14,379
54,606,153,10,391
55,584,162,8,399
56,584,175,6,407
57,594,176,8,420
58,590,169,11,427
59,572,161,12,438
60,574,164,8,446
61,579,158,12,454
62,566,172,6,457
63,544,180,10,461
64,548,182,10,472
65,573,186,14,476
66,585,196,7,486
67,553,185,12,493
68,574,201,5,505
69,571,192,6,509
70,586,198,14,515
71,552,204,12,517
72,610,204,4,529
73,553,201,4,538
74,583,212,12,543
75,557,205,7,557
76,574,201,9,566
77,587,199,14,579
78,559,195,8,584
79,579,198,4,590
80,558,200,15,595
81,569,206,13,608
82,546,195,12,617
83,554,197,10,625
84,556,197,8,633
85,579,199,10,646
86,569,192,4,654
87,529,198,6,661
88,564,209,11,668
89,536,212,12,672
90,557,227,10,684
91,551,213,5,692
92,573,209,12,702
93,547,201,19,716
94,552,211,4,721
95,547,222,15,730
96,561,226,17,734
97,587,220,12,743
98,589,226,11,753
99,587,222,15,769
100,615,229,8,779
101,566,229,11,785
102,595,240,8,792
103,569,252,13,800
104,601,242,13,811
105,567,234,6,820
106,585,232,11,826
107,586,246,14,833
108,587,247,9,846
109,561,243,8,857
110,568,238,10,869
111,577,232,7,880
112,576,220,12,894
113,597,223,13,901
114,557,213,7,915
115,578,224,8,922
116,553,220,10,928
117,577,218,16,943
118,570,206,5,953
119,567,212,12,963
120,581,211,14,971
121,529,214,8,976
122,532,216,7,990
123,515,223,9,995
124,532,226,11,1005
125,565,216,11,1013
126,550,208,10,1022
127,556,205,13,1037
128,541,217,16,1042
129,569,201,9,1050
130,557,200,11,1057
131,607,210,10,1063
132,596,210,9,1071
133,617,219,10,1079
134,597,225,14,1088
135,591,220,7,1101
136,583,228,4,1107
137,582,220,13,1114
138,599,233,13,1120
139,608,237,8,1125
140,592,241,8,1134
141,575,228,12,1144
142,590,232,4,1153
143,556,232,12,1163
144,589,239,7,1169
145,579,254,10,1180
146,568,257,5,1188
147,590,260,10,1194
148,576,240,15,1205
149,545,241,4,1212
150,578,228,12,1222
151,552,228,8,1234
152,577,237,7,1245
153,570,236,10,1254
154,564,222,12,1263
155,555,216,6,1276
156,558,227,9,1286
157,552,220,9,1294
158,545,209,5,1302
159,553,211,6,1310
160,552,216,10,1317
161,568,234,11,1324
162,540,217,18,1329
163,564,217,13,1343
164,557,224,13,1351
165,558,219,10,1362
166,566,213,13,1371
167,564,214,4,1374
168,551,211,14,1382
169,576,231,7,1391
170,573,222,11,1404
171,568,233,13,1409
172,580,228,8,1418
173,560,227,11,1425
174,545,213,8,1436
175,565,215,4,1444
176,546,211,9,1455
177,540,217,11,1460
178,522,204,8,1469
179,560,228,7,1477
180,502,227,11,1488
181,543,227,6,1501
182,523,234,8,1505
183,537,225,12,1515
184,546,239,12,1521
185,521,236,10,1526
186,534,240,7,1535
187,531,242,10,1539
