.time,covid.count,hosp.count,vacc.count,recovered.count
1,130,20,91,0
2,233,41,51,0
3,289,63,15,0
4,351,92,27,0
5,402,111,6,0
6,480,137,47,0
7,584,171,62,0
8,689,209,76,0
9,781,251,43,0
10,895,284,90,0
11,860,321,60,20
12,919,359,36,41
13,884,371,18,63
14,936,388,50,92
15,940,404,24,111
16,906,410,17,137
17,947,419,71,171
18,905,411,26,209
19,942,426,33,251
20,925,447,103,284
21,968,429,27,341
22,955,426,78,397
23,1051,448,63,432
24,1049,476,109,471
25,1178,521,47,508
26,1125,519,61,537
27,1143,553,16,575
28,1125,538,42,613
29,1213,554,90,659
30,1236,560,86,701
31,1277,579,64,740
32,1246,590,63,792
33,1342,625,100,841
34,1247,600,54,913
35,1345,599,23,970
36,1304,616,63,1020
37,1412,623,70,1073
38,1429,656,105,1113
39,1414,699,12,1161
40,1367,677,51,1211
41,1368,690,4,1262
42,1346,680,24,1319
43,1350,659,58,1386
44,1384,671,46,1429
45,1372,696,98,1476
46,1393,673,13,1530
47,1361,695,79,1589
48,1428,717,99,1644
49,1464,739,68,1696
50,1394,746,2,1739
51,1488,790,81,1779
52,1493,810,93,1805
53,1572,841,78,1836
54,1583,841,110,1877
55,1564,889,88,1921
56,1651,968,61,1951
57,1590,975,52,2002
58,1582,989,50,2059
59,1551,955,60,2118
60,1650,979,15,2152
61,1471,962,14,2209
62,1604,977,105,2262
63,1558,989,90,2310
64,1508,994,14,2370
65,1512,951,62,2431
66,1516,903,24,2500
67,1519,904,47,2548
68,1503,904,65,2593
69,1564,914,53,2633
70,1557,954,66,2675
71,1587,928,88,2718
72,1544,952,7,2758
73,1541,932,83,2799
74,1584,958,28,2842
75,1532,960,65,2882
76,1539,945,92,2910
77,1556,937,51,2935
78,1575,940,92,2973
79,1569,965,15,3015
80,1493,965,60,3058
81,1573,972,88,3094
82,1503,976,51,3127
83,1569,972,108,3160
84,1525,1023,30,3197
85,1556,1026,36,3229
86,1516,1040,91,3274
87,1515,1040,89,3310
88,1518,1062,78,3352
89,1560,1044,98,3398
90,1484,1081,14,3424
91,1551,1112,64,3469
92,1521,1094,99,3500
93,1567,1093,58,3550
94,1545,1069,63,3595
95,1582,1096,69,3623
96,1562,1068,79,3664
97,1523,1059,12,3705
98,1531,1048,54,3752
99,1508,1031,44,3799
100,1565,1031,71,3844
101,1510,1025,50,3890
102,1479,1000,40,3925
103,1454,974,55,3972
104,1474,986,26,4010
105,1366,942,13,4035
106,1421,932,32,4071
107,1385,912,20,4098
108,1383,914,11,4143
109,1321,922,14,4173
110,1302,887,16,4203
111,1321,874,31,4244
112,1294,850,51,4271
113,1290,840,16,4296
114,1314,814,85,4324
115,1246,817,43,4346
116,1247,819,26,4364
117,1289,818,88,4385
118,1302,806,107,4408
119,1280,814,12,4434
120,1303,839,49,4450
121,1343,854,76,4470
122,1258,865,36,4489
123,1279,902,52,4508
124,1220,884,82,4537
125,1315,916,49,4552
126,1213,901,30,4566
127,1271,897,48,4603
128,1192,887,29,4632
129,1228,859,24,4654
130,1184,851,18,4678
131,1175,837,31,4709
132,1158,832,27,4738
133,1178,810,73,4764
134,1139,826,64,4787
135,1138,812,16,4822
136,1091,801,21,4836
137,1126,776,62,4871
138,1103,753,77,4899
139,1119,778,31,4917
140,1121,774,28,4940
141,1084,744,43,4963
142,1118,748,58,4979
143,1097,735,60,5001
144,1095,725,46,5019
145,1127,746,82,5040
146,1137,771,79,5054
147,1071,763,4,5080
148,1148,785,75,5106
149,1049,744,31,5135
150,1098,752,81,5153
151,1074,765,67,5169
152,1105,754,100,5197
153,1071,752,48,5225
154,1082,747,63,5251
155,1054,729,12,5281
156,1032,720,39,5315
157,1063,724,78,5344
158,1021,722,43,5381
159,1054,711,16,5399
160,1017,714,43,5425
161,1062,713,70,5448
162,1016,726,42,5463
163,1019,717,50,5490
164,1008,706,102,5523
165,1066,728,44,5542
166,918,699,32,5569
167,1041,723,70,5587
168,945,676,26,5612
169,1021,700,37,5631
170,963,680,45,5656
171,986,670,27,5672
172,994,662,85,5698
173,966,634,9,5717
174,956,613,81,5748
175,931,601,41,5771
176,975,612,95,5795
177,938,602,62,5827
178,1001,652,110,5851
179,945,636,88,5875
180,965,660,33,5891
181,989,658,9,5914
182,965,672,61,5926
183,950,692,46,5939
184,948,718,19,5957
185,985,728,10,5974
186,949,714,10,5999
187,987,698,53,6028
188,892,663,46,6053
189,944,660,18,6078
190,913,658,40,6101
191,954,653,95,6113
192,918,632,42,6140
193,934,643,9,6164
194,871,618,89,6193
195,924,628,64,6210
196,916,633,35,6228
197,919,630,64,6238
198,930,648,77,6252
199,937,665,49,6265
200,945,663,103,6282
201,896,658,37,6303
202,908,665,78,6320
203,936,650,95,6341
204,925,665,16,6357
205,908,651,30,6382
206,911,642,106,6404
207,890,653,11,6418
208,867,651,45,6440
209,883,628,72,6458
210,891,617,67,6478
211,870,613,74,6502
212,886,610,22,6528
213,895,622,62,6546
214,870,606,59,6566
215,857,594,33,6582
216,875,610,56,6597
217,885,622,40,6613
218,875,607,42,6629
219,835,607,53,6647
220,892,635,65,6664
221,830,607,37,6681
222,847,619,28,6699
223,806,609,51,6714
224,823,601,78,6729
225,819,611,7,6744
226,811,593,81,6760
227,793,577,61,6786
228,799,574,29,6799
229,787,585,84,6812
230,804,578,55,6834
231,794,567,63,6856
232,790,542,27,6870
233,793,554,38,6886
234,773,554,64,6901
235,766,537,14,6911
236,755,541,38,6937
237,790,549,54,6957
238,727,531,8,6970
239,758,513,29,6991
240,708,505,50,7008
241,743,534,78,7024
242,730,532,68,7034
243,752,523,76,7051
244,707,528,60,7058
245,759,548,43,7068
246,722,524,38,7088
247,738,526,32,7097
248,760,548,72,7103
249,749,570,41,7107
250,732,560,30,7121
251,698,545,27,7137
252,742,539,83,7151
253,686,539,53,7169
254,733,552,71,7179
255,698,539,64,7194
256,712,532,38,7210
257,706,545,29,7221
258,694,520,70,7245
259,690,511,46,7260
260,708,518,74,7276
261,699,515,93,7283
262,717,531,46,7293
263,709,522,5,7307
264,701,506,24,7317
265,704,517,16,7328
266,671,479,18,7344
267,701,488,27,7354
