"Title: Population Distribution by Age | KFF"
"Timeframe: 2021"
"Location","Children 0-18","Adults 19-25","Adults 26-34","Adults 35-54","Adults 55-64","65+","Total",Footnotes
"United States","75887400","27366000","39656400","83093900","42413200","54758900","323175700","1"
"Alabama","1157600","426600","552500","1229000","669700","865500","4900800"
"Alaska","184200","59200","92100","180200","87200","95800","698700"
"Arizona","1674800","625700","875200","1737900","869500","1324300","7107300"
"Arkansas","722700","256500","336700","725900","382800","511700","2936400"
"California","9073100","3356200","5136800","10201100","4735800","5876100","38379200"
"Colorado","1285900","484600","799000","1530100","697400","867100","5664200"
"Connecticut","757800","291300","400200","905800","514700","631700","3501500"
"Delaware","212200","75900","110100","237100","143200","195600","974100"
"District of Columbia","125600","50200","133200","175900","65000","83600","633400"
"Florida","4430300","1643400","2386900","5354600","2952500","4537000","21304700"
"Georgia","2623300","905700","1278100","2789500","1322900","1558700","10478300"
"Hawaii","307900","96500","157500","343800","180700","278700","1365100"
"Idaho","487200","159600","218100","463200","226100","310900","1865000"
"Illinois","2905600","1048500","1502200","3234700","1630300","2047600","12368800"
"Indiana","1624800","587300","785200","1657700","861900","1084400","6601300"
"Iowa","754900","274500","345200","756200","414100","548300","3093200"
"Kansas","723300","259000","322500","697700","368600","472000","2843100"
"Kentucky","1036400","378500","506600","1098700","595400","750100","4365500"
"Louisiana","1112300","398200","522600","1114000","582900","750300","4480200"
"Maine","254400","90600","151400","337800","211700","290900","1336900"
"Maryland","1403300","468300","717600","1590400","829900","982700","5992100"
"Massachusetts","1413000","552900","877600","1761500","955500","1183700","6744100"
"Michigan","2219700","868400","1165000","2410600","1389200","1789000","9841800"
"Minnesota","1345300","457700","664500","1433400","747000","937200","5585100"
"Mississippi","717400","255800","303600","717200","370400","486100","2850600"
"Missouri","1428400","498900","703600","1487000","817200","1052400","5987500"
"Montana","238600","95400","123300","255200","148200","213100","1073800"
"Nebraska","495400","166900","224400","467700","239100","313600","1907000"
"Nevada","719700","249500","398100","819900","388600","514600","3090300"
"New Hampshire","266200","102600","160700","341800","215400","260100","1346700"
"New Jersey","2089100","717700","1063900","2412100","1274300","1528000","9085100"
"New Mexico","496300","172600","239300","498900","270100","386000","2063100"
"New York","4222100","1562200","2493100","4973200","2673500","3385600","19309800"
"North Carolina","2388000","849800","1193400","2661700","1353200","1765600","10211700"
"North Dakota","187900","72900","93800","176900","91700","118400","741600"
"Ohio","2676300","964500","1363400","2837300","1572200","2042100","11455700"
"Oklahoma","989300","345800","452900","960400","479400","630800","3858600"
"Oregon","879800","341700","528700","1109300","523800","780200","4163500"
"Pennsylvania","2754800","972800","1507100","3145800","1792400","2391100","12564000"
"Rhode Island","215400","89200","130800","268200","154100","192600","1050300"
"South Carolina","1157000","412600","574200","1254400","690400","951900","5040600"
"South Dakota","224500","77800","94800","199300","116400","151000","863800"
"Tennessee","1577600","575000","829300","1742400","907700","1164200","6796100"
"Texas","7743900","2632100","3736900","7619000","3281900","3831500","28845300"
"Utah","985100","353700","431800","819600","308000","383900","3281800"
"Vermont","119400","51000","68200","154700","96600","129700","619700"
"Virginia","1947200","685300","988000","2189200","1112600","1383100","8305000"
"Washington","1720100","622600","1026100","1999100","950800","1233400","7552200"
"West Virginia","367400","143300","175500","436200","247900","362700","1733000"
"Wisconsin","1309800","491200","656700","1435400","829200","1032100","5754400"
"Wyoming","135300","47900","58500","145200","74400","102200","563500"
"Puerto Rico","585900","317700","347600","807400","441200","733100","3233000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. For 2020 data please refer to the [Population Distribution by Age (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-age-cps/). We will continue to report data from the ACS for 2021 and later. Estimates from the CPS are not comparable to estimates from ACS."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2021 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
