age_group,case_month,num_cases,num_hosp,num_death
0 - 9 Years,2020/01,158,8,
0 - 9 Years,2020/02,66,11,
0 - 9 Years,2020/03,2680,295,9
0 - 9 Years,2020/04,10278,535,24
0 - 9 Years,2020/05,21171,705,9
0 - 9 Years,2020/06,40644,744,16
0 - 9 Years,2020/07,71658,1231,15
0 - 9 Years,2020/08,59385,920,14
0 - 9 Years,2020/09,49378,587,21
0 - 9 Years,2020/10,87424,898,12
0 - 9 Years,2020/11,189185,1628,40
0 - 9 Years,2020/12,279813,2075,49
0 - 9 Years,2021/01,295340,1950,62
0 - 9 Years,2021/02,131758,1082,28
0 - 9 Years,2021/03,123394,1079,22
0 - 9 Years,2021/04,130544,1041,31
0 - 9 Years,2021/05,74217,746,18
0 - 9 Years,2021/06,33354,501,14
0 - 9 Years,2021/07,123415,1154,26
0 - 9 Years,2021/08,412944,2626,66
0 - 9 Years,2021/09,408548,2523,56
0 - 9 Years,2021/10,258877,1715,38
0 - 9 Years,2021/11,294250,1965,40
0 - 9 Years,2021/12,605091,5214,54
0 - 9 Years,2022/01,1789406,8521,106
0 - 9 Years,2022/02,323756,2056,29
0 - 9 Years,2022/03,101059,807,19
0 - 9 Years,2022/04,117691,840,18
0 - 9 Years,2022/05,277202,1940,26
0 - 9 Years,2022/06,213824,1990,12
0 - 9 Years,2022/07,279716,2622,21
0 - 9 Years,2022/08,262679,2317,26
0 - 9 Years,2022/09,123834,1554,23
0 - 9 Years,2022/10,81016,1289,7
0 - 9 Years,2022/11,109384,1906,8
0 - 9 Years,2022/12,99928,1617,10
10 - 19 Years,2020/01,337,7,1
10 - 19 Years,2020/02,166,16,1
10 - 19 Years,2020/03,7621,438,13
10 - 19 Years,2020/04,27075,1021,23
10 - 19 Years,2020/05,48251,1044,21
10 - 19 Years,2020/06,95451,1219,17
10 - 19 Years,2020/07,182012,2310,39
10 - 19 Years,2020/08,172460,1616,30
10 - 19 Years,2020/09,176153,1297,40
10 - 19 Years,2020/10,233428,1533,38
10 - 19 Years,2020/11,495181,2909,71
10 - 19 Years,2020/12,635955,3186,111
