date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-01,US,0,0,,,0,0,,
2020-01-02,US,0,0,,,0,0,,
2020-01-03,US,0,0,,,0,0,,
2020-01-04,US,0,0,,,0,0,,
2020-01-05,US,0,0,,,0,0,,
2020-01-06,US,0,0,,,0,0,,
2020-01-07,US,0,0,,,0,0,,
2020-01-08,US,0,0,,,0,0,,
2020-01-09,US,0,0,,,0,0,,
2020-01-10,US,0,0,,,0,0,,
2020-01-11,US,0,0,,,0,0,,
2020-01-12,US,0,0,,,0,0,,
2020-01-13,US,0,0,,,0,0,,
2020-01-14,US,0,0,,,0,0,,
2020-01-15,US,0,0,,,0,0,,
2020-01-16,US,0,0,,,0,0,,
2020-01-17,US,0,0,,,0,0,,
2020-01-18,US,1,0,,,1,0,,
2020-01-19,US,0,0,,,1,0,,
2020-01-20,US,0,0,,,1,0,,
2020-01-21,US,0,0,,,1,0,,
2020-01-22,US,4,0,,,4,0,,
2020-01-23,US,2,0,,,6,0,,
2020-01-24,US,1,0,,,7,0,,
2020-01-25,US,0,0,,,7,0,,
2020-01-26,US,1,0,,,8,0,,
2020-01-27,US,0,0,,,8,0,,
2020-01-28,US,0,0,,,8,0,,
2020-01-29,US,0,0,,,8,0,,
2020-01-30,US,0,0,,,8,0,,
2020-01-31,US,1,0,,,9,0,,
2020-02-01,US,1,0,,,10,0,,
2020-02-02,US,3,0,,,13,0,,
2020-02-03,US,4,0,,,17,0,,
2020-02-04,US,2,0,,,19,0,,
2020-02-05,US,0,0,,,19,0,,
2020-02-06,US,0,0,,,19,0,,
2020-02-07,US,1,0,,,20,0,,
2020-02-08,US,0,0,,,20,0,,
2020-02-09,US,0,0,,,20,0,,
2020-02-10,US,0,0,,,20,0,,
2020-02-11,US,0,0,,,20,0,,
2020-02-12,US,2,0,,,22,0,,
2020-02-13,US,1,0,,,23,0,,
2020-02-14,US,1,0,,,24,0,,
2020-02-15,US,0,0,,,24,0,,
2020-02-16,US,0,0,,,24,0,,
2020-02-17,US,2,0,,,26,0,,
2020-02-18,US,5,0,,,31,0,,
2020-02-19,US,3,0,,,34,0,,
2020-02-20,US,1,0,,,35,0,,
2020-02-21,US,5,0,,,40,0,,
2020-02-22,US,8,0,,,48,0,,
2020-02-23,US,0,0,,,48,0,,
2020-02-24,US,4,0,,,52,0,,
2020-02-25,US,4,0,,,56,0,,
2020-02-26,US,8,0,,,64,0,,
2020-02-27,US,5,1,,,69,1,,
2020-02-28,US,4,0,,,73,1,,
2020-02-29,US,9,1,,348,82,2,,348
2020-03-01,US,18,0,,515,100,2,,863
2020-03-02,US,34,6,,617,134,8,,1480
2020-03-03,US,51,3,,889,185,11,,2369
2020-03-04,US,70,1,,1203,255,12,,3572
2020-03-05,US,77,3,,1523,332,15,,5095
2020-03-06,US,125,3,,1772,457,18,,6867
2020-03-07,US,143,5,,1638,600,23,,8505
2020-03-08,US,206,4,,2397,806,27,,10902
2020-03-09,US,384,4,,3480,1190,31,,14382
2020-03-10,US,476,7,,4832,1666,38,,19214
2020-03-11,US,472,12,,8891,2138,50,,28105
2020-03-12,US,665,7,,11728,2803,57,,39833
2020-03-13,US,799,10,,13047,3602,67,,52880
2020-03-14,US,864,12,,14442,4466,79,,67322
2020-03-15,US,1542,19,,27328,6008,98,,94650
2020-03-16,US,1723,17,,39849,7731,115,,134499
2020-03-17,US,2179,22,,50396,9910,137,,184895
2020-03-18,US,2769,55,,60667,12679,192,,245562
2020-03-19,US,3656,58,,76323,16335,250,,321885
2020-03-20,US,4568,68,,75805,20903,318,,397690
2020-03-21,US,5437,85,,73938,26340,403,,471628
2020-03-22,US,6844,73,,79863,33184,476,,551491
2020-03-23,US,8047,111,,104605,41231,587,,656096
2020-03-24,US,8813,160,,114711,50044,747,,770807
2020-03-25,US,10507,207,,129285,60551,954,,900092
2020-03-26,US,14048,229,,135850,74599,1183,,1035942
2020-03-27,US,15319,344,,121756,89918,1527,,1157698
2020-03-28,US,15734,331,,110263,105652,1858,,1267961
2020-03-29,US,21188,412,,123493,126840,2270,,1391454
2020-03-30,US,11761,302,,142286,138601,2572,,1533740
2020-03-31,US,20131,635,,153137,158732,3207,,1686877
2020-04-01,US,22232,712,,161795,180964,3919,,1848672
2020-04-02,US,24432,841,,169304,205396,4760,,2017976
2020-04-03,US,26234,826,,147758,231630,5586,,2165734
2020-04-04,US,26640,882,,138656,258270,6468,,2304390
2020-04-05,US,21246,1207,,143107,279516,7675,,2447497
2020-04-06,US,24590,1002,,179993,304106,8677,,2627490
2020-04-07,US,25313,1352,,168334,329419,10029,,2795824
2020-04-08,US,27732,1444,,174076,357151,11473,,2969900
2020-04-09,US,28619,1401,,172118,385770,12874,,3142018
