date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-13,US,30817,30817,,7882,37821,37821,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14,US,4538,35355,143,8025,4709,42530,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,US,45876,81231,290,8315,47301,89831,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,US,154818,236049,488,8803,159341,249172,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,US,266883,502932,789,9592,273552,522724,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18,US,409980,912912,1262,10854,419055,941779,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,US,178859,1091771,1099,11953,183044,1124823,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,US,104032,1195803,774,12727,106211,1231034,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,US,377856,1573659,1578,14305,385316,1616350,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,US,440600,2014259,2992,17297,449891,2066241,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,US,563105,2577364,3183,20480,575083,2641324,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,US,191865,2769229,1210,21690,196869,2838193,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,US,12529,2781758,121,21811,12700,2850893,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,US,138594,2920352,989,22800,142120,2993013,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,US,93219,3013571,775,23575,96098,3089111,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,US,579373,3592944,4334,27909,594371,3683482,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,US,705455,4298399,5438,33347,725209,4408691,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,US,824450,5122849,7994,41341,845257,5253948,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,US,412726,5535575,3390,44731,423326,5677274,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,US,110341,5645916,8235,52966,122438,5799712,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,US,256528,5902444,3004,55970,265390,6065102,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,US,132462,6034906,2549,58519,139746,6204848,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,US,602331,6637237,45404,103923,661904,6866752,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,US,734586,7371823,87977,191900,836309,7703061,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,US,833390,8205213,173599,365499,1026540,8729601,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,US,867124,9072337,282366,647865,1172925,9902526,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,US,847816,9920153,365866,1013731,1240283,11142809,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,US,371131,10291284,129444,1143175,510580,11653389,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,US,177122,10468406,69884,1213059,252583,11905972,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,US,723451,11191857,325228,1538287,1074426,12980398,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,US,918387,12110244,316204,1854491,1263448,14243846,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US,1030975,13141219,271639,2126130,1328253,15572099,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US,1157671,14298890,136781,2262911,1319870,16891969,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US,1119838,15418728,121610,2384521,1263068,18155037,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,US,566652,15985380,72478,2456999,650585,18805622,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,US,256298,16241678,42281,2499280,306517,19112139,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,US,642337,16884015,228652,2727932,892546,20004685,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US,969404,17853419,358045,3085977,1354403,21359088,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US,1158349,19011768,422478,3508455,1610518,22969606,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US,1332857,20344625,276582,3785037,1638857,24608463,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US,1401229,21745854,211126,3996163,1640586,26249049,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US,741883,22487737,151584,4147747,908687,27157736,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US,306053,22793790,88636,4236383,401743,27559479,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US,860420,23654210,491226,4727609,1377916,28937395,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US,1054064,24708274,583211,5310820,1667595,30604990,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US,1249717,25957991,649743,5960563,1935879,32540869,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US,1368915,27326906,559773,6520336,1966089,34506958,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US,1372266,28699172,497939,7018275,1919187,36426145,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US,757333,29456505,243367,7261642,1019811,37445956,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US,321037,29777542,127929,7389571,460027,37905983,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US,776442,30553984,579314,7968885,1402046,39308029,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US,962489,31516473,701363,8670248,1701622,41009651,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US,1258743,32775216,836874,9507122,2144101,43153752,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US,1384545,34159761,916124,10423246,2349520,45503272,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US,1355072,35514833,963847,11387093,2362423,47865695,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US,851583,36366416,423163,11810256,1303452,49169147,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US,276316,36642732,157880,11968136,445373,49614520,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US,837563,37480295,706789,12674925,1584222,51198742,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US,1036607,38516902,898598,13573523,1979236,53177978,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US,1229502,39746404,1040264,14613787,2313073,55491051,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US,1276759,41023163,1093995,15707782,2415605,57906656,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US,1381679,42404842,1160714,16868496,2595997,60502653,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US,871399,43276241,571699,17440195,1477957,61980610,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US,345350,43621591,230446,17670641,593091,62573701,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US,610663,44232254,537535,18208176,1183803,63757504,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US,798476,45030730,790182,18998358,1628563,65386067,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US,936511,45967241,991978,19990336,1974946,67361013,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US,836175,46803416,977119,20967455,1866800,69227813,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US,824038,47627454,1098731,22066186,1974245,71202058,,,,,,,,,,,,,,,,,,,,,,,,
