month,num_hosp_month,num_cases_month
2020/01,589,4128
2020/02,1571,4341
2020/03,90643,373762
2020/04,141301,809209
2020/05,66682,722803
2020/06,66718,1096430
2020/07,103368,1792782
2020/08,69593,1425374
2020/09,54918,1255948
2020/10,93489,2096828
2020/11,173844,4472550
2020/12,219632,6051437
2021/01,184412,5478272
2021/02,80875,2130174
2021/03,72508,1965740
2021/04,71632,1721495
2021/05,41801,931748
2021/06,26573,479566
2021/07,70067,1657333
2021/08,136943,4116637
2021/09,112284,3732301
2021/10,82500,2372714
2021/11,92729,2537258
2021/12,162408,7139265
2022/01,221884,16619044
2022/02,60205,2975798
2022/03,19997,1072442
2022/04,21433,1351635
2022/05,44721,3182590
2022/06,48276,2862709
2022/07,63096,3300395
2022/08,51963,2662500
2022/09,37607,1500708
2022/10,36470,1199377
2022/11,43985,1599111
2022/12,37693,1444501
