"FIPS","GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex Ratio"
"US","US","United States","2021","TOTAL","334998398","100","165095479","100","169902919","100","0.971704782776569"
"US","US","United States","2021","0 - 4","20601023","6.149588512360587","10526683","6.376118270325258","10074340","5.929468463105098","1.0449005096115478"
"US","US","United States","2021","5 - 9","20194669","6.028288230799241","10321985","6.2521306231529215","9872684","5.810779507561021","1.0455095088630406"
"US","US","United States","2021","10 - 14","20714911","6.183585092845727","10578739","6.407649115576326","10136172","5.965861010310246","1.0436621438547018"
"US","US","United States","2021","15 - 19","21050427","6.283739601644305","10740438","6.5055918339229635","10309989","6.068164726469473","1.0417506750007202"
"US","US","United States","2021","20 - 24","21954440","6.553595518985139","11218217","6.79498740241094","10736223","6.319033871336844","1.0448941867172468"
"US","US","United States","2021","25 - 29","23225812","6.933111363714641","11891467","7.202781730927955","11334345","6.671071378120348","1.0491534358624164"
"US","US","United States","2021","30 - 34","23490578","7.012146368532783","11918444","7.219121972443594","11572134","6.81102718429458","1.0299262003015175"
"US","US","United States","2021","35 - 39","22108047","6.59944857407945","11109903","6.729380518045561","10998144","6.473193082692122","1.0101616236339512"
"US","US","United States","2021","40 - 44","20898390","6.23835520550758","10405774","6.302882467181309","10492616","6.1756537567197425","0.9917235129923748"
"US","US","United States","2021","45 - 49","19663264","5.869659114011644","9733969","5.8959633897667185","9929295","5.844099123452964","0.980328311325225"
"US","US","United States","2021","50 - 54","20660758","6.167419940915657","10181165","6.1668345260986825","10479593","6.1679887912932205","0.9715229398698976"
"US","US","United States","2021","55 - 59","21347483","6.372413458526449","10403313","6.301391814611714","10944170","6.441425529599052","0.9505803546545787"
"US","US","United States","2021","60 - 64","21246174","6.342171821370919","10211692","6.185325038488789","11034482","6.494580590460602","0.9254346511236322"
"US","US","United States","2021","65 - 69","18477006","5.515550554961162","8710869","5.2762613808461705","9766137","5.748068989915353","0.8919462219299197"
"US","US","United States","2021","70 - 74","15476044","4.619736718860369","7159776","4.3367486762008784","8316268","4.8947175533811755","0.8609361795459213"
"US","US","United States","2021","75 - 79","10354532","3.0909198556824147","4645571","2.813869300442806","5708961","3.3601312052796457","0.8137331819222446"
"US","US","United States","2021","80 - 84","6725990","2.0077678102806926","2861632","1.7333194205760172","3864358","2.274450623182054","0.7405193825209776"
"US","US","United States","2021","85 - 89","4006474","1.1959681072862922","1562368","0.9463420860846226","2444106","1.4385309059934397","0.6392390510067893"
"US","US","United States","2021","90 - 94","2038553","0.6085261936088423","698877","0.42331686139025043","1339676","0.7884949875405025","0.5216761366181076"
"US","US","United States","2021","95 - 99","665663","0.1987063233657613","191264","0.11585053761526687","474399","0.27921768666022745","0.4031711702596338"
"US","US","United States","2021","100+","98160","0.02930163266034484","23333","0.014133033891255132","74827","0.04404103263228809","0.3118259451802157"
