Month,Age Group,Vaccinated Pop,Unvaccinated Pop,Vaccinated Cases, Unvaccinated Cases,Vaccinated Deaths,Unvaccinated Deaths,Case Hazard,Death Hazard
2021-04,12-17,137801,17556467,45,112099,0,10,19.552597910375574,N/A
2021-04,18-29,5186308,31091337,3249,251089,0,101,12.89130495955654,N/A
2021-04,30-49,13832403,41074367,9025,329836,13,775,12.307719748536671,20.07636599731409
2021-04,50-64,15593884,22948579,7953,162390,69,2211,13.874802179880698,21.773996679991463
2021-04,65-79,19345500,7675922,7594,51252,231,2878,17.009424921506326,31.39989643513259
2021-04,80+,6003038,2524586,3596,12715,351,2039,8.407707694400136,13.813096068649257
2021-04,all_ages_adj,60098934,122871258,31462,919381,664,8014,14.293074640646912,5.903338992162592
2021-05,12-17,926757,16599493,85,52728,0,5,34.63326407974168,N/A
2021-05,18-29,10733721,25539902,2967,111803,3,63,15.836783762093908,8.82572458578737
2021-05,30-49,24023089,32190144,7722,154677,7,493,14.948646560057293,52.559933859613324
2021-05,50-64,24433978,17103049,7014,73879,80,1264,15.047899614354314,22.572399365750517
2021-05,65-79,21701845,5849170,5975,26826,208,1770,16.65790665360861,31.57274520770271
2021-05,80+,6490686,2118674,2945,6936,253,1105,7.215231136665095,13.380372978533247
2021-05,all_ages_adj,88310076,99400432,26708,426849,551,4700,14.198906109108583,7.578238091650276
2021-06,12-17,3762205,13701827,394,25989,0,1,18.111621088572907,N/A
2021-06,18-29,14680605,22891599,4970,70642,0,58,9.115372517069614,N/A
2021-06,30-49,30054417,28302382,11731,98449,19,519,8.911721252136497,29.00675029848427
2021-06,50-64,28088516,14764495,9080,44759,87,1140,9.377881143645423,24.928479880397138
2021-06,65-79,22852175,5063521,6952,16956,230,1262,11.007496858184108,24.76318171726234
2021-06,80+,6749888,1942082,2873,4233,293,731,5.120845182869658,8.671191154331106
2021-06,all_ages_adj,106187806,86665906,36000,261028,629,3711,8.884049328645773,7.228807755103447
2021-07,12-17,5083356,12112390,3352,88657,1,8,11.100171811782204,3.357458602307224
2021-07,18-29,15988874,21196586,36933,259418,2,255,5.298311444527912,96.1749894534903
2021-07,30-49,31895875,25875242,77065,335468,85,2141,5.365917820965581,31.049016059898676
2021-07,50-64,29129372,13424696,53378,135558,371,3953,5.510481100106439,23.11956010630427
2021-07,65-79,23208127,4615757,36288,46760,1046,3971,6.479009622920299,19.08821675247077
2021-07,80+,6829557,1838819,11604,10543,1217,2074,3.3745047040002674,6.329533828459311
2021-07,all_ages_adj,112135161,79063490,218620,876404,2722,12402,5.685652217953812,6.462036937286183
2021-08,12-17,6029618,10758121,14490,282173,2,38,10.91441452708796,10.648954589746667
