timestamp,country,admin1,admin2,admin3,lat,lng,feature,value,AgeGroupVacc
1665446400000,,,,,,,7-day_avg_group_cases_per_100k,2.0918257,<2 Years
1665446400000,,,,,,,7-day_avg_group_cases_per_100k,2.3892925,12 - 17 Years
1665446400000,,,,,,,7-day_avg_group_cases_per_100k,4.375377,25 - 49 Years
1665360000000,,,,,,,7-day_avg_group_cases_per_100k,2.888181,<2 Years
1665360000000,,,,,,,7-day_avg_group_cases_per_100k,3.3627079,2 - 4 Years
1665360000000,,,,,,,7-day_avg_group_cases_per_100k,2.306116,5 - 11 Years
1665360000000,,,,,,,7-day_avg_group_cases_per_100k,3.0876923,12 - 17 Years
1665360000000,,,,,,,7-day_avg_group_cases_per_100k,4.9405665,18 - 24 Years
1665360000000,,,,,,,7-day_avg_group_cases_per_100k,5.5337405,25 - 49 Years
1665360000000,,,,,,,7-day_avg_group_cases_per_100k,4.9389324,50 - 64 Years
1665360000000,,,,,,,7-day_avg_group_cases_per_100k,6.052993,65+ Years
1665273600000,,,,,,,7-day_avg_group_cases_per_100k,3.783616,<2 Years
1665273600000,,,,,,,7-day_avg_group_cases_per_100k,4.162084,2 - 4 Years
1665273600000,,,,,,,7-day_avg_group_cases_per_100k,2.830416,5 - 11 Years
1665273600000,,,,,,,7-day_avg_group_cases_per_100k,3.90944,12 - 17 Years
1665273600000,,,,,,,7-day_avg_group_cases_per_100k,6.142735,18 - 24 Years
1665273600000,,,,,,,7-day_avg_group_cases_per_100k,6.931528,25 - 49 Years
1665273600000,,,,,,,7-day_avg_group_cases_per_100k,6.508357,50 - 64 Years
1665273600000,,,,,,,7-day_avg_group_cases_per_100k,8.092591,65+ Years
1665187200000,,,,,,,7-day_avg_group_cases_per_100k,4.529193,<2 Years
1665187200000,,,,,,,7-day_avg_group_cases_per_100k,4.812243,2 - 4 Years
1665187200000,,,,,,,7-day_avg_group_cases_per_100k,3.2668304,5 - 11 Years
1665187200000,,,,,,,7-day_avg_group_cases_per_100k,4.433668,12 - 17 Years
1665187200000,,,,,,,7-day_avg_group_cases_per_100k,6.960096,18 - 24 Years
1665187200000,,,,,,,7-day_avg_group_cases_per_100k,7.8355193,25 - 49 Years
1665187200000,,,,,,,7-day_avg_group_cases_per_100k,7.4555063,50 - 64 Years
1665187200000,,,,,,,7-day_avg_group_cases_per_100k,9.377712,65+ Years
1665100800000,,,,,,,7-day_avg_group_cases_per_100k,5.1410117,<2 Years
1665100800000,,,,,,,7-day_avg_group_cases_per_100k,5.3096323,2 - 4 Years
1665100800000,,,,,,,7-day_avg_group_cases_per_100k,3.5385222,5 - 11 Years
1665100800000,,,,,,,7-day_avg_group_cases_per_100k,4.8134193,12 - 17 Years
1665100800000,,,,,,,7-day_avg_group_cases_per_100k,7.525016,18 - 24 Years
1665100800000,,,,,,,7-day_avg_group_cases_per_100k,8.569137,25 - 49 Years
1665100800000,,,,,,,7-day_avg_group_cases_per_100k,8.304808,50 - 64 Years
