date,I,R,D,V,H,I_0-9,I_10-19,I_20-29,I_30-39,I_40-49,I_50-59,I_60-69,I_70-79,N_0-9,N_10-19,N_20-29,N_30-39,N_40-49,N_50-59,N_60-69,N_70-79,N_80-89,N_90-99,N_100+,D_0-9,D_10-19,D_20-29,D_30-39,D_40-49,D_50-59,D_60-69,D_70-79,D_80-89,D_90-99,D_100+,H_0-9,H_10-19,H_20-29,H_30-39,H_40-49,H_50-59,H_60-69,H_70-79,H_80-89,H_90-99,H_100+,H_vac,H_unvac,D_vac,D_unvac,H_vac_0-9,H_vac_10-19,H_vac_20-29,H_vac_30-39,H_vac_40-49,H_vac_50-59,H_vac_60-69,H_vac_70-79,H_vac_80-89,H_vac_90-99,H_vac_100+,H_unvac_0-9,H_unvac_10-19,H_unvac_20-29,H_unvac_30-39,H_unvac_40-49,H_unvac_50-59,H_unvac_60-69,H_unvac_70-79,H_unvac_80-89,H_unvac_90-99,H_unvac_100+,D_vac_0-9,D_vac_10-19,D_vac_20-29,D_vac_30-39,D_vac_40-49,D_vac_50-59,D_vac_60-69,D_vac_70-79,D_vac_80-89,D_vac_90-99,D_vac_100+,D_unvac_0-9,D_unvac_10-19,D_unvac_20-29,D_unvac_30-39,D_unvac_40-49,D_unvac_50-59,D_unvac_60-69,D_unvac_70-79,D_unvac_80-89,D_unvac_90-99,D_unvac_100+
2020-12-13,3003438,13294197,253207,30817,0,75981.0,176278.0,299356.0,271365.0,248207.0,238680.0,170763.0,94649.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,30835,31568,34149,34465,30658,31751,30024,19523,8112,2043,74,0,0,0,0,0,0,0,0,0,0,0,0,0,23,253184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2,1,0,0,0,30832,31565,34146,34462,30655,31748,30021,19522,8111,2043,74
2020-12-14,3066564,13444501,254791,35355,0,76432.0,176644.0,297050.0,270940.0,248120.0,239206.0,171200.0,95561.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,31028,31765,34362,34681,30850,31950,30212,19646,8162,2056,74,0,0,0,0,0,0,0,0,0,0,0,0,0,26,254765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,2,0,0,0,31024,31762,34359,34677,30846,31947,30209,19644,8161,2056,74
2020-12-15,3074815,13635500,257164,81231,0,77189.0,177292.0,296908.0,271442.0,248301.0,239795.0,172448.0,96284.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,31317,32061,34682,35004,31137,32247,30493,19829,8238,2075,75,0,0,0,0,0,0,0,0,0,0,0,0,0,62,257102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,8,7,7,7,4,1,0,0,31309,32053,34674,34995,31129,32240,30486,19824,8236,2075,75
2020-12-16,3144789,13842160,259933,236049,0,76929.0,176959.0,293334.0,269014.0,247213.0,238855.0,171159.0,95813.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,31654,32406,35056,35381,31472,32595,30822,20042,8327,2098,76,0,0,0,0,0,0,0,0,0,0,0,0,0,183,259750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,24,24,22,22,21,14,5,1,0,31632,32383,35031,35356,31450,32572,30800,20028,8321,2096,76
2020-12-17,3178394,14056574,262637,502932,0,78317.0,179410.0,297305.0,272638.0,251538.0,243442.0,175533.0,97730.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,31983,32743,35421,35749,31800,32934,31142,20251,8414,2120,76,0,0,0,0,0,0,0,0,0,0,0,0,0,394,262243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,49,53,53,47,49,46,30,12,3,0,31935,32694,35367,35695,31752,32884,31096,20220,8401,2116,76
2020-12-18,3181218,14278694,265245,912912,0,78096.0,177906.0,293782.0,269830.0,249006.0,241560.0,174402.0,97223.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,32301,33068,35772,36104,32115,33261,31452,20452,8497,2141,77,0,0,0,0,0,0,0,0,0,0,0,0,0,722,264523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,90,97,98,87,90,85,55,23,5,0,32213,32978,35675,36005,32028,33170,31366,20396,8474,2135,77
2020-12-19,3145272,14481520,267567,1091771,0,77466.0,176511.0,292576.0,269141.0,248870.0,241112.0,174028.0,97072.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,32583,33358,36085,36420,32397,33552,31727,20631,8572,2159,78,0,0,0,0,0,0,0,0,0,0,0,0,0,872,266695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,108,117,118,105,109,103,67,27,7,0,32477,33249,35968,36301,32291,33443,31623,20563,8544,2152,78
2020-12-20,3137601,14655601,269145,1195803,0,75933.0,172044.0,284899.0,263215.0,243186.0,236324.0,171185.0,95595.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,32776,33555,36298,36634,32588,33750,31914,20752,8622,2172,78,0,0,0,0,0,0,0,0,0,0,0,0,0,960,268185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,119,129,130,116,120,113,74,30,7,0,32659,33435,36169,36504,32471,33629,31800,20678,8591,2164,78
2020-12-21,3133887,14836926,271146,1573659,0,75775.0,171384.0,284188.0,263806.0,243602.0,236875.0,172300.0,96355.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,33019,33804,36568,36907,32830,34001,32151,20907,8686,2188,79,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,269873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,158,171,173,154,159,150,98,40,10,0,32864,33645,36396,36734,32676,33841,32000,20808,8646,2178,79
2020-12-22,3119998,15062544,273670,2014259,0,88483.0,212017.0,359382.0,332650.0,311650.0,309842.0,229496.0,129174.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,33327,34119,36909,37250,33136,34317,32451,21101,8767,2209,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1645,272025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,205,221,223,199,206,195,126,52,13,0,33126,33914,36687,37026,32936,34111,32255,20974,8714,2195,79
2020-12-23,3148879,15280716,277024,2577364,0,80123.0,186285.0,312327.0,290712.0,271483.0,268234.0,197676.0,110754.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,33735,34537,37361,37707,33542,34738,32848,21360,8875,2236,81,0,0,0,0,0,0,0,0,0,0,0,0,0,2131,274893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,265,287,290,258,267,252,164,68,17,0,33476,34271,37074,37417,33284,34471,32596,21196,8806,2219,80
2020-12-24,3117880,15485827,279705,2769229,0,79128.0,182480.0,306610.0,286886.0,267880.0,265028.0,195364.0,109332.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,34062,34871,37722,38072,33866,35074,33166,21567,8961,2257,81,0,0,0,0,0,0,0,0,0,0,0,0,0,2312,277393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,288,311,314,279,289,274,178,74,18,0,33780,34583,37411,37757,33586,34784,32892,21388,8886,2239,81
