Report Date,Age Group,Fatality Count,Percent
08/18/2023,0 to 9,47,0.1
08/18/2023,10 to 19,41,0.1
08/18/2023,20 to 29,266,0.4
08/18/2023,30 to 39,820,1.3
08/18/2023,40 to 49,1897,3
08/18/2023,50 to 59,5232,8.3
08/18/2023,60 to 69,11042,17.6
08/18/2023,70 to 79,16127,25.6
08/18/2023,80 to 89,17071,27.1
08/18/2023,90 and Over,10353,16.5
08/18/2023,Unknown,9,0
08/18/2023,Statewide Total,62905,100
08/17/2023,0 to 9,47,0.1
08/17/2023,10 to 19,41,0.1
08/17/2023,20 to 29,266,0.4
08/17/2023,30 to 39,820,1.3
08/17/2023,40 to 49,1897,3
08/17/2023,50 to 59,5232,8.3
08/17/2023,60 to 69,11041,17.6
08/17/2023,70 to 79,16123,25.6
08/17/2023,80 to 89,17068,27.1
08/17/2023,90 and Over,10352,16.5
08/17/2023,Unknown,9,0
08/17/2023,Statewide Total,62896,100
08/16/2023,0 to 9,47,0.1
08/16/2023,10 to 19,41,0.1
08/16/2023,20 to 29,266,0.4
08/16/2023,30 to 39,820,1.3
08/16/2023,40 to 49,1897,3
08/16/2023,50 to 59,5232,8.3
08/16/2023,60 to 69,11041,17.6
08/16/2023,70 to 79,16122,25.6
08/16/2023,80 to 89,17067,27.1
08/16/2023,90 and Over,10351,16.5
08/16/2023,Unknown,9,0
08/16/2023,Statewide Total,62893,100
08/15/2023,0 to 9,47,0.1
08/15/2023,10 to 19,41,0.1
08/15/2023,20 to 29,266,0.4
08/15/2023,30 to 39,820,1.3
08/15/2023,40 to 49,1897,3
08/15/2023,50 to 59,5232,8.3
08/15/2023,60 to 69,11041,17.6
08/15/2023,70 to 79,16121,25.6
08/15/2023,80 to 89,17065,27.1
08/15/2023,90 and Over,10349,16.5
08/15/2023,Unknown,9,0
08/15/2023,Statewide Total,62888,100
08/14/2023,0 to 9,47,0.1
08/14/2023,10 to 19,41,0.1
08/14/2023,20 to 29,266,0.4
08/14/2023,30 to 39,820,1.3
08/14/2023,40 to 49,1897,3
08/14/2023,50 to 59,5232,8.3
08/14/2023,60 to 69,11041,17.6
08/14/2023,70 to 79,16118,25.6
08/14/2023,80 to 89,17063,27.1
08/14/2023,90 and Over,10348,16.5
08/14/2023,Unknown,9,0
08/14/2023,Statewide Total,62882,100
08/11/2023,0 to 9,47,0.1
08/11/2023,10 to 19,41,0.1
08/11/2023,20 to 29,266,0.4
08/11/2023,30 to 39,818,1.3
08/11/2023,40 to 49,1897,3
08/11/2023,50 to 59,5231,8.3
08/11/2023,60 to 69,11040,17.6
08/11/2023,70 to 79,16116,25.6
08/11/2023,80 to 89,17056,27.1
08/11/2023,90 and Over,10344,16.5
08/11/2023,Unknown,9,0
08/11/2023,Statewide Total,62865,100
08/10/2023,0 to 9,47,0.1
08/10/2023,10 to 19,41,0.1
08/10/2023,20 to 29,266,0.4
08/10/2023,30 to 39,818,1.3
08/10/2023,40 to 49,1897,3
08/10/2023,50 to 59,5230,8.3
08/10/2023,60 to 69,11037,17.6
08/10/2023,70 to 79,16116,25.6
08/10/2023,80 to 89,17055,27.1
08/10/2023,90 and Over,10342,16.5
08/10/2023,Unknown,9,0
08/10/2023,Statewide Total,62858,100
08/09/2023,0 to 9,47,0.1
08/09/2023,10 to 19,41,0.1
08/09/2023,20 to 29,266,0.4
08/09/2023,30 to 39,818,1.3
08/09/2023,40 to 49,1897,3
08/09/2023,50 to 59,5230,8.3
08/09/2023,60 to 69,11034,17.6
08/09/2023,70 to 79,16116,25.6
08/09/2023,80 to 89,17054,27.1
08/09/2023,90 and Over,10340,16.5
08/09/2023,Unknown,9,0
08/09/2023,Statewide Total,62852,100
08/08/2023,0 to 9,47,0.1
08/08/2023,10 to 19,41,0.1
08/08/2023,20 to 29,266,0.4
08/08/2023,30 to 39,817,1.3
08/08/2023,40 to 49,1897,3
08/08/2023,50 to 59,5230,8.3
08/08/2023,60 to 69,11034,17.6
08/08/2023,70 to 79,16115,25.6
08/08/2023,80 to 89,17052,27.1
08/08/2023,90 and Over,10340,16.5
08/08/2023,Unknown,9,0
08/08/2023,Statewide Total,62848,100
08/07/2023,0 to 9,47,0.1
08/07/2023,10 to 19,41,0.1
08/07/2023,20 to 29,266,0.4
08/07/2023,30 to 39,817,1.3
08/07/2023,40 to 49,1897,3
08/07/2023,50 to 59,5230,8.3
08/07/2023,60 to 69,11034,17.6
08/07/2023,70 to 79,16115,25.6
08/07/2023,80 to 89,17051,27.1
08/07/2023,90 and Over,10337,16.5
08/07/2023,Unknown,9,0
08/07/2023,Statewide Total,62844,100
08/04/2023,0 to 9,47,0.1
08/04/2023,10 to 19,41,0.1
08/04/2023,20 to 29,266,0.4
08/04/2023,30 to 39,817,1.3
08/04/2023,40 to 49,1895,3
08/04/2023,50 to 59,5229,8.3
08/04/2023,60 to 69,11033,17.6
08/04/2023,70 to 79,16112,25.6
08/04/2023,80 to 89,17048,27.2
08/04/2023,90 and Over,10332,16.4
08/04/2023,Unknown,9,0
08/04/2023,Statewide Total,62829,100
08/03/2023,0 to 9,47,0.1
08/03/2023,10 to 19,41,0.1
08/03/2023,20 to 29,266,0.4
08/03/2023,30 to 39,817,1.3
08/03/2023,40 to 49,1895,3
08/03/2023,50 to 59,5229,8.3
08/03/2023,60 to 69,11033,17.6
08/03/2023,70 to 79,16111,25.6
08/03/2023,80 to 89,17047,27.1
08/03/2023,90 and Over,10332,16.5
08/03/2023,Unknown,9,0
08/03/2023,Statewide Total,62827,100
08/02/2023,0 to 9,47,0.1
08/02/2023,10 to 19,41,0.1
08/02/2023,20 to 29,266,0.4
08/02/2023,30 to 39,817,1.3
08/02/2023,40 to 49,1895,3
08/02/2023,50 to 59,5228,8.3
08/02/2023,60 to 69,11032,17.6
08/02/2023,70 to 79,16110,25.6
08/02/2023,80 to 89,17045,27.1
08/02/2023,90 and Over,10331,16.5
08/02/2023,Unknown,9,0
08/02/2023,Statewide Total,62821,100
08/01/2023,0 to 9,47,0.1
08/01/2023,10 to 19,41,0.1
08/01/2023,20 to 29,266,0.4
08/01/2023,30 to 39,817,1.3
08/01/2023,40 to 49,1895,3
08/01/2023,50 to 59,5228,8.3
08/01/2023,60 to 69,11032,17.6
08/01/2023,70 to 79,16110,25.7
08/01/2023,80 to 89,17043,27
08/01/2023,90 and Over,10331,16.5
08/01/2023,Unknown,9,0
08/01/2023,Statewide Total,62819,100
07/31/2023,0 to 9,47,0.1
07/31/2023,10 to 19,41,0.1
07/31/2023,20 to 29,266,0.4
07/31/2023,30 to 39,817,1.3
07/31/2023,40 to 49,1895,3
07/31/2023,50 to 59,5227,8.3
07/31/2023,60 to 69,11031,17.6
07/31/2023,70 to 79,16109,25.6
07/31/2023,80 to 89,17043,27.1
07/31/2023,90 and Over,10331,16.5
07/31/2023,Unknown,9,0
07/31/2023,Statewide Total,62816,100
07/28/2023,0 to 9,47,0.1
07/28/2023,10 to 19,41,0.1
07/28/2023,20 to 29,266,0.4
07/28/2023,30 to 39,815,1.3
07/28/2023,40 to 49,1895,3
07/28/2023,50 to 59,5227,8.3
07/28/2023,60 to 69,11029,17.6
07/28/2023,70 to 79,16108,25.7
07/28/2023,80 to 89,17041,27
07/28/2023,90 and Over,10329,16.5
07/28/2023,Unknown,9,0
07/28/2023,Statewide Total,62807,100
07/27/2023,0 to 9,47,0.1
07/27/2023,10 to 19,41,0.1
07/27/2023,20 to 29,266,0.4
07/27/2023,30 to 39,815,1.3
07/27/2023,40 to 49,1895,3
07/27/2023,50 to 59,5227,8.3
07/27/2023,60 to 69,11029,17.6
07/27/2023,70 to 79,16108,25.7
07/27/2023,80 to 89,17041,27
07/27/2023,90 and Over,10329,16.5
07/27/2023,Unknown,9,0
07/27/2023,Statewide Total,62807,100
07/26/2023,0 to 9,47,0.1
07/26/2023,10 to 19,41,0.1
07/26/2023,20 to 29,266,0.4
07/26/2023,30 to 39,815,1.3
07/26/2023,40 to 49,1895,3
07/26/2023,50 to 59,5227,8.3
07/26/2023,60 to 69,11029,17.6
07/26/2023,70 to 79,16104,25.6
07/26/2023,80 to 89,17040,27.2
07/26/2023,90 and Over,10326,16.4
07/26/2023,Unknown,9,0
07/26/2023,Statewide Total,62799,100
07/25/2023,0 to 9,47,0.1
07/25/2023,10 to 19,41,0.1
07/25/2023,20 to 29,266,0.4
07/25/2023,30 to 39,815,1.3
07/25/2023,40 to 49,1895,3
07/25/2023,50 to 59,5227,8.3
07/25/2023,60 to 69,11029,17.6
07/25/2023,70 to 79,16104,25.7
07/25/2023,80 to 89,17036,27.1
07/25/2023,90 and Over,10326,16.4
07/25/2023,Unknown,9,0
07/25/2023,Statewide Total,62795,100
07/24/2023,0 to 9,47,0.1
07/24/2023,10 to 19,41,0.1
07/24/2023,20 to 29,266,0.4
07/24/2023,30 to 39,815,1.3
07/24/2023,40 to 49,1895,3
07/24/2023,50 to 59,5227,8.3
07/24/2023,60 to 69,11029,17.6
07/24/2023,70 to 79,16103,25.7
