cases,deaths
1490084,26604.0
1491402,26626.0
1492810,26628.0
1493874,26637.0
1494823,26644.0
1495718,26661.0
1497297,26683.0
1499097,26695.0
1500615,26719.0
1502231,26740.0
1503380,26750.0
1504368,26752.0
1505547,26762.0
1507009,26796.0
1508440,26814.0
1509777,26838.0
1511138,26856.0
1512028,26862.0
1512851,26872.0
1513720,26903.0
1514986,26923.0
1516028,26949.0
1517605,26973.0
1519436,26999.0
1520485,27010.0
1521208,27017.0
1521901,27046.0
1523244,27074.0
1523244,27074.0
1524998,27102.0
1525616,27121.0
1526190,27128.0
1526976,27138.0
1527836,27166.0
1529290,27184.0
1531230,27208.0
1533134,27225.0
1535424,27244.0
1537055,27246.0
1538154,27248.0
1539155,27262.0
1540904,27275.0
1542590,27288.0
1544488,27304.0
1546287,27325.0
1547746,27330.0
1548861,27341.0
1550000,27352.0
1551821,27369.0
1554070,27388.0
1557389,27413.0
1561081,27432.0
1564583,27441.0
1567837,27448.0
1570934,27473.0
1577406,27488.0
1586017,27512.0
1595943,27533.0
1595943,27533.0
1616737,27546.0
1624146,27555.0
1633597,27576.0
