type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,629.3600830078125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.025,630.7200317382812,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.05,648.862744140625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.1,676.135107421875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.15,716.9425537109375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.2,734.8794921875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.25,749.1494140625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.3,772.52412109375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.35,798.6412841796875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.4,809.06533203125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.45,822.268603515625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.5,834.50244140625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.55,845.1143798828125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.6,863.33232421875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.65,878.5421630859377,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.7,923.03896484375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.75,941.4180908203125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.8,960.080859375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.85,984.7914306640623,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
