type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,692.319052734375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.025,756.5097534179688,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.05,775.9291748046875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.1,825.656787109375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.15,866.6914794921875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.2,890.4966796875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.25,918.286376953125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.3,939.30087890625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.35,957.2669921875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.4,973.354296875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.45,992.7095458984375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.5,1005.482421875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.55,1029.9002685546875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.6,1052.0060546875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.65,1071.8019287109375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.7,1093.68759765625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.75,1120.7562255859375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.8,1154.2518554687501,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.85,1193.0709716796875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.9,1230.3873046875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.95,1324.0041992187496,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.975,1434.8028564453123,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.99,1590.13466796875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.01,755.6834326171875,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.025,824.613623046875,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.05,850.305908203125,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.1,911.906298828125,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.15,962.2428466796875,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.2,992.5456054687501,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.25,1023.0443115234375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.3,1051.04814453125,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.35,1070.879443359375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.4,1087.55625,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.45,1111.7859375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.5,1132.06982421875,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.55,1153.4657958984376,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.6,1180.6197265625,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.65,1205.858837890625,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.7,1232.110107421875,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.75,1271.6767578125,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.8,1306.0682617187501,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.85,1347.492041015625,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.9,1397.807958984375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.95,1523.4926757812493,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.975,1633.6863159179686,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.99,1850.1038183593746,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Florida
quantile,0.01,828.095244140625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.025,902.1090209960938,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.05,937.3908203125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.1,995.8265625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.15,1060.11650390625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.2,1094.27109375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.25,1125.5042724609375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.3,1158.6189941406249,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.35,1184.5800048828125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.4,1212.312109375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.45,1234.7876708984375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.5,1257.98095703125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.55,1285.0197021484378,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.6,1317.412890625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.65,1350.254638671875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.7,1378.0523437499999,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.75,1424.388671875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.8,1463.7822265625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.85,1509.3003173828124,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.9,1579.080078125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.95,1716.8435058593739,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.975,1844.874755859375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.99,2106.3025488281246,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.01,903.8620751953125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.025,976.4259887695313,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.05,1018.1529052734375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.1,1088.12265625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.15,1155.2990234375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.2,1193.37080078125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.25,1227.380859375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.3,1266.09404296875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.35,1294.38623046875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.4,1328.1728515625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.45,1358.113525390625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.5,1381.3720703125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.55,1415.39755859375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.6,1454.0755859375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.65,1486.81240234375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.7,1524.7378906249999,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.75,1575.572509765625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.8,1613.085546875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.85,1658.72119140625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.9,1745.308203125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.95,1904.3435546874985,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.975,2090.890820312499,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.99,2345.2906445312497,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
