type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,859.488642578125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.025,887.9554565429687,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.05,928.9155517578125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.1,961.376025390625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.15,993.6513427734375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.2,1013.6365234375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.25,1024.981201171875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.3,1041.26015625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.35,1053.2972412109375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.4,1067.666015625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.45,1077.5216552734375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.5,1088.197509765625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.55,1100.5936767578125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.6,1114.68505859375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.65,1127.7099365234376,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.7,1144.74189453125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.75,1162.9600830078125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.8,1181.06650390625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.85,1203.797900390625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.9,1236.379345703125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
quantile,0.95,1297.711596679687,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Florida
