type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,307.3169171142578,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.025,329.5972564697266,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.05,349.11378784179686,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.1,375.88376464843753,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.15,408.5553466796875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.2,426.20283203125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.25,440.9617919921875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.3,454.9903930664062,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.35,475.315869140625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.4,486.3057373046875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.45,498.1820861816406,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.5,506.17779541015625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.55,522.7502014160157,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.6,536.609765625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.65,547.9954162597656,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.7,566.4139282226563,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.75,585.044921875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.8,615.725146484375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.85,636.1825988769531,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.9,669.5689208984376,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.95,723.5540954589841,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.975,794.0947967529294,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.99,847.5433312988279,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.01,420.1517333984375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.025,447.6122680664063,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.05,477.8242248535156,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.1,518.8952270507813,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.15,561.1563354492188,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.2,587.9050537109375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.25,607.5539245605469,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.3,628.0755615234375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.35,658.6942138671875,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.4,677.1790771484375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.45,692.2299560546875,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.5,702.943115234375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.55,728.9918884277346,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.6,746.222314453125,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.65,765.5483764648437,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.7,788.5234985351561,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.75,821.4907531738281,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.8,861.87392578125,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.85,891.8478637695313,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.9,944.343603515625,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.95,1024.6357543945312,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.975,1127.040234375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.99,1215.2579467773435,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.01,563.169052734375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.025,596.0414031982422,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.05,639.3177612304687,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.1,696.4774047851563,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.15,756.285400390625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.2,793.776904296875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.25,821.4938354492188,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.3,851.5343994140625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.35,889.1059448242187,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.4,914.8689453125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.45,933.1330322265625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.5,952.078125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.55,989.9242065429687,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.6,1011.401318359375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.65,1041.6536010742188,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
