type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,197.8698291015625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.025,207.89925079345704,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.05,220.46654357910157,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.1,232.64475708007814,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.15,238.89555969238282,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.2,245.62978515625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.25,251.27993774414062,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.3,257.9229736328125,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.35,263.32293701171875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.4,267.6806884765625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.45,272.4330261230469,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.5,277.36090087890625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.55,282.89221801757816,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.6,288.2005615234375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.65,292.74509887695314,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.7,299.4927490234375,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.75,305.3824157714844,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.8,313.2160888671875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.85,319.95668945312497,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.9,330.8850341796875,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.95,346.68178100585936,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.975,360.5437194824218,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.99,375.423447265625,1.0 week(s) ahead  inc hosp,2023-12-09,2023-12-16,Pennsylvania
quantile,0.01,229.58120727539062,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.025,243.1652404785156,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.05,259.68572387695315,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.1,275.0458984375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.15,284.0074157714844,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.2,292.632373046875,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.25,299.65814208984375,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.3,309.1687377929687,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.35,315.4784729003906,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.4,321.426953125,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.45,327.4078002929688,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.5,334.04205322265625,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.55,342.22462158203126,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.6,348.95900878906247,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.65,355.0957458496094,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.7,364.18681640625,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.75,372.9102783203125,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.8,382.6153076171875,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.85,392.7153869628906,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.9,407.21660156250005,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.95,429.06610717773435,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.975,447.49963378906244,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.99,465.6940148925781,2.0 week(s) ahead  inc hosp,2023-12-09,2023-12-23,Pennsylvania
quantile,0.01,265.7288879394531,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.025,282.7129638671875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.05,303.9513244628906,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.1,324.5138305664062,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.15,335.99868164062497,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.2,347.10927734375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.25,356.6037902832031,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.3,368.4020263671875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.35,377.0369384765625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.4,384.72001953125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.45,392.64365234375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.5,401.67010498046875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.55,412.21674194335947,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.6,420.5404541015625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.65,428.5663330078125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.7,440.84300537109374,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.75,453.2795715332031,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.8,465.82978515625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.85,478.2755920410156,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.9,498.1875244140625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.95,527.2694091796875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.975,552.0532653808593,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.99,574.61923828125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.01,306.73311401367187,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.025,327.6910705566406,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.05,355.6530334472656,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.1,381.67628173828126,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.15,395.246630859375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.2,410.30263671875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.25,421.48614501953125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.3,437.04982910156247,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.35,448.42406616210934,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.4,457.90380859375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.45,469.27959594726565,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.5,479.1580810546875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.55,492.84537353515634,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.6,504.545166015625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.65,515.3754516601563,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.7,529.6625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.75,546.4735717773438,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.8,564.23427734375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.85,578.4206787109375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.9,606.1365478515626,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.95,644.9383056640625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.975,676.6820739746094,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.99,705.9509130859374,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
